,Attribute,Value
0,Beta (5Y Monthly),1.15
1,52-Week Change 3,-22.16%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,289.45
4,52 Week Low 3,156.63
5,50-Day Moving Average 3,221.17
6,200-Day Moving Average 3,211.94
7,Avg Vol (3 month) 3,711.93k
8,Avg Vol (10 day) 3,431.4k
9,Shares Outstanding 5,75.7M
10,Float,108.73M
11,% Held by Insiders 1,28.50%
12,% Held by Institutions 1,62.57%
13,"Shares Short (Jun 14, 2020) 4",3.91M
14,"Short Ratio (Jun 14, 2020) 4",6.69
15,"Short % of Float (Jun 14, 2020) 4",8.51%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",5.16%
17,"Shares Short (prior month May 14, 2020) 4",3.06M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,34.10%
31,Operating Margin (ttm),33.05%
32,Return on Assets (ttm),12.98%
33,Return on Equity (ttm),30.38%
34,Revenue (ttm),2.34B
35,Revenue Per Share (ttm),30.61
36,Quarterly Revenue Growth (yoy),-12.20%
37,Gross Profit (ttm),1.54B
38,EBITDA,807.59M
39,Net Income Avi to Common (ttm),796.96M
40,Diluted EPS (ttm),9.89
41,Quarterly Earnings Growth (yoy),-31.10%
42,Total Cash (mrq),2.64B
43,Total Cash Per Share (mrq),17.42
44,Total Debt (mrq),78.5M
45,Total Debt/Equity (mrq),2.76
46,Current Ratio (mrq),5.82
47,Book Value Per Share (mrq),37.65
48,Operating Cash Flow (ttm),987.78M
49,Levered Free Cash Flow (ttm),702.78M
