,Attribute,Value
0,Beta (5Y Monthly),0.84
1,52-Week Change 3,10.65%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,175.74
4,52 Week Low 3,109.22
5,50-Day Moving Average 3,160.82
6,200-Day Moving Average 3,155.28
7,Avg Vol (3 month) 3,1.02M
8,Avg Vol (10 day) 3,1.57M
9,Shares Outstanding 5,126.11M
10,Float,124.58M
11,% Held by Insiders 1,1.31%
12,% Held by Institutions 1,100.43%
13,"Shares Short (Jun 14, 2020) 4",4.82M
14,"Short Ratio (Jun 14, 2020) 4",4.96
15,"Short % of Float (Jun 14, 2020) 4",4.55%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.82%
17,"Shares Short (prior month May 14, 2020) 4",5.16M
18,Forward Annual Dividend Rate 4,4.24
19,Forward Annual Dividend Yield 4,2.61%
20,Trailing Annual Dividend Rate 3,4.06
21,Trailing Annual Dividend Yield 3,2.50%
22,5 Year Average Dividend Yield 4,2.89
23,Payout Ratio 4,188.84%
24,Dividend Date 3,"Jul 14, 2020"
25,Ex-Dividend Date 4,"Jun 28, 2020"
26,Last Split Factor 2,1:1
27,Last Split Date 3,"Apr 23, 2006"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,15.62%
31,Operating Margin (ttm),27.38%
32,Return on Assets (ttm),1.57%
33,Return on Equity (ttm),3.09%
34,Revenue (ttm),1.62B
35,Revenue Per Share (ttm),14.10
36,Quarterly Revenue Growth (yoy),21.30%
37,Gross Profit (ttm),1.1B
38,EBITDA,990.41M
39,Net Income Avi to Common (ttm),244.24M
40,Diluted EPS (ttm),2.12
41,Quarterly Earnings Growth (yoy),-85.50%
42,Total Cash (mrq),445.26M
43,Total Cash Per Share (mrq),3.53
44,Total Debt (mrq),7.6B
45,Total Debt/Equity (mrq),69.62
46,Current Ratio (mrq),3.24
47,Book Value Per Share (mrq),74.99
48,Operating Cash Flow (ttm),738.39M
49,Levered Free Cash Flow (ttm),739.56M
