,Attribute,Value
0,Beta (5Y Monthly),0.20
1,52-Week Change 3,15.01%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,141.70
4,52 Week Low 3,92.00
5,50-Day Moving Average 3,128.29
6,200-Day Moving Average 3,126.90
7,Avg Vol (3 month) 3,959.59k
8,Avg Vol (10 day) 3,680k
9,Shares Outstanding 5,181.02M
10,Float,180.52M
11,% Held by Insiders 1,0.24%
12,% Held by Institutions 1,88.97%
13,"Shares Short (Jun 14, 2020) 4",2.35M
14,"Short Ratio (Jun 14, 2020) 4",2.37
15,"Short % of Float (Jun 14, 2020) 4",1.48%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.30%
17,"Shares Short (prior month May 14, 2020) 4",2.24M
18,Forward Annual Dividend Rate 4,2.2
19,Forward Annual Dividend Yield 4,1.68%
20,Trailing Annual Dividend Rate 3,2.00
21,Trailing Annual Dividend Yield 3,1.53%
22,5 Year Average Dividend Yield 4,1.88
23,Payout Ratio 4,57.31%
24,Dividend Date 3,"Jun 01, 2020"
25,Ex-Dividend Date 4,"May 10, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jul 25, 1996"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,17.36%
31,Operating Margin (ttm),33.86%
32,Return on Assets (ttm),3.42%
33,Return on Equity (ttm),10.38%
34,Revenue (ttm),3.64B
35,Revenue Per Share (ttm),20.12
36,Quarterly Revenue Growth (yoy),3.80%
37,Gross Profit (ttm),2.07B
38,EBITDA,1.82B
39,Net Income Avi to Common (ttm),632M
40,Diluted EPS (ttm),3.49
41,Quarterly Earnings Growth (yoy),9.70%
42,Total Cash (mrq),566M
43,Total Cash Per Share (mrq),3.13
44,Total Debt (mrq),10.42B
45,Total Debt/Equity (mrq),166.91
46,Current Ratio (mrq),0.65
47,Book Value Per Share (mrq),34.49
48,Operating Cash Flow (ttm),1.4B
49,Levered Free Cash Flow (ttm),-1B
