,Attribute,Value
0,Beta (5Y Monthly),0.78
1,52-Week Change 3,16.07%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,72.85
4,52 Week Low 3,44.68
5,50-Day Moving Average 3,65.27
6,200-Day Moving Average 3,64.16
7,Avg Vol (3 month) 3,1.02M
8,Avg Vol (10 day) 3,720.02k
9,Shares Outstanding 5,309.2M
10,Float,357.55M
11,% Held by Insiders 1,2.39%
12,% Held by Institutions 1,51.74%
13,"Shares Short (Jun 14, 2020) 4",8.44M
14,"Short Ratio (Jun 14, 2020) 4",7.95
15,"Short % of Float (Jun 14, 2020) 4",2.79%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.76%
17,"Shares Short (prior month May 14, 2020) 4",9.39M
18,Forward Annual Dividend Rate 4,0.7
19,Forward Annual Dividend Yield 4,1.10%
20,Trailing Annual Dividend Rate 3,0.68
21,Trailing Annual Dividend Yield 3,1.08%
22,5 Year Average Dividend Yield 4,1.26
23,Payout Ratio 4,39.57%
24,Dividend Date 3,"Jun 30, 2020"
25,Ex-Dividend Date 4,"Jun 04, 2020"
26,Last Split Factor 2,5:4
27,Last Split Date 3,"Feb 28, 2018"
28,Fiscal Year Ends,"Apr 29, 2020"
29,Most Recent Quarter (mrq),"Apr 29, 2020"
30,Profit Margin,24.59%
31,Operating Margin (ttm),33.10%
32,Return on Assets (ttm),12.76%
33,Return on Equity (ttm),45.67%
34,Revenue (ttm),3.36B
35,Revenue Per Share (ttm),7.04
36,Quarterly Revenue Growth (yoy),-4.70%
37,Gross Profit (ttm),2.13B
38,EBITDA,1.19B
39,Net Income Avi to Common (ttm),827M
40,Diluted EPS (ttm),1.72
41,Quarterly Earnings Growth (yoy),-19.50%
42,Total Cash (mrq),675M
43,Total Cash Per Share (mrq),1.41
44,Total Debt (mrq),2.66B
45,Total Debt/Equity (mrq),134.43
46,Current Ratio (mrq),3.71
47,Book Value Per Share (mrq),4.13
48,Operating Cash Flow (ttm),724M
49,Levered Free Cash Flow (ttm),410.38M
