,Attribute,Value
0,Beta (5Y Monthly),0.51
1,52-Week Change 3,4.49%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,82.82
4,52 Week Low 3,51.26
5,50-Day Moving Average 3,70.80
6,200-Day Moving Average 3,68.82
7,Avg Vol (3 month) 3,1.92M
8,Avg Vol (10 day) 3,1.84M
9,Shares Outstanding 5,326M
10,Float,323.23M
11,% Held by Insiders 1,0.68%
12,% Held by Institutions 1,84.87%
13,"Shares Short (Jun 14, 2020) 4",9.78M
14,"Short Ratio (Jun 14, 2020) 4",4.81
15,"Short % of Float (Jun 14, 2020) 4",3.49%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.00%
17,"Shares Short (prior month May 14, 2020) 4",10.5M
18,Forward Annual Dividend Rate 4,0.6
19,Forward Annual Dividend Yield 4,0.84%
20,Trailing Annual Dividend Rate 3,0.60
21,Trailing Annual Dividend Yield 3,0.84%
22,5 Year Average Dividend Yield 4,0.79
23,Payout Ratio 4,43.17%
24,Dividend Date 3,"Jun 14, 2020"
25,Ex-Dividend Date 4,"May 28, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"May 16, 2017"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,4.11%
31,Operating Margin (ttm),10.55%
32,Return on Assets (ttm),4.52%
33,Return on Equity (ttm),13.92%
34,Revenue (ttm),11.47B
35,Revenue Per Share (ttm),34.89
36,Quarterly Revenue Growth (yoy),0.00%
37,Gross Profit (ttm),2.27B
38,EBITDA,1.89B
39,Net Income Avi to Common (ttm),472M
40,Diluted EPS (ttm),1.40
41,Quarterly Earnings Growth (yoy),-80.30%
42,Total Cash (mrq),801M
43,Total Cash Per Share (mrq),2.46
44,Total Debt (mrq),8.25B
45,Total Debt/Equity (mrq),305.59
46,Current Ratio (mrq),1.06
47,Book Value Per Share (mrq),8.07
48,Operating Cash Flow (ttm),969M
49,Levered Free Cash Flow (ttm),815.5M
