,Attribute,Value
0,Beta (5Y Monthly),1.82
1,52-Week Change 3,-26.58%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,83.11
4,52 Week Low 3,32.00
5,50-Day Moving Average 3,52.27
6,200-Day Moving Average 3,57.54
7,Avg Vol (3 month) 3,30.67M
8,Avg Vol (10 day) 3,22.87M
9,Shares Outstanding 5,2.08B
10,Float,2.08B
11,% Held by Insiders 1,0.25%
12,% Held by Institutions 1,81.98%
13,"Shares Short (Jun 14, 2020) 4",29.35M
14,"Short Ratio (Jun 14, 2020) 4",0.86
15,"Short % of Float (Jun 14, 2020) 4",1.41%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.41%
17,"Shares Short (prior month May 14, 2020) 4",31.42M
18,Forward Annual Dividend Rate 4,2.04
19,Forward Annual Dividend Yield 4,4.13%
20,Trailing Annual Dividend Rate 3,1.98
21,Trailing Annual Dividend Yield 3,4.00%
22,5 Year Average Dividend Yield 4,1.63
23,Payout Ratio 4,27.39%
24,Dividend Date 3,"May 21, 2020"
25,Ex-Dividend Date 4,"Apr 30, 2020"
26,Last Split Factor 2,1:10
27,Last Split Date 3,"May 08, 2011"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,27.02%
31,Operating Margin (ttm),32.96%
32,Return on Assets (ttm),0.83%
33,Return on Equity (ttm),8.85%
34,Revenue (ttm),63.72B
35,Revenue Per Share (ttm),29.11
36,Quarterly Revenue Growth (yoy),-14.10%
37,Gross Profit (ttm),66.07B
38,EBITDA,
39,Net Income Avi to Common (ttm),16.01B
40,Diluted EPS (ttm),7.26
41,Quarterly Earnings Growth (yoy),-46.50%
42,Total Cash (mrq),899.76B
43,Total Cash Per Share (mrq),432.2
44,Total Debt (mrq),624.39B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),
47,Book Value Per Share (mrq),83.75
48,Operating Cash Flow (ttm),-754M
49,Levered Free Cash Flow (ttm),
