,Attribute,Value
0,Beta (5Y Monthly),0.72
1,52-Week Change 3,-15.15%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,167.74
4,52 Week Low 3,87.35
5,50-Day Moving Average 3,127.50
6,200-Day Moving Average 3,130.15
7,Avg Vol (3 month) 3,2.99M
8,Avg Vol (10 day) 3,1.7M
9,Shares Outstanding 5,451.36M
10,Float,448.33M
11,% Held by Insiders 1,0.53%
12,% Held by Institutions 1,90.40%
13,"Shares Short (Jun 14, 2020) 4",3.73M
14,"Short Ratio (Jun 14, 2020) 4",1.06
15,"Short % of Float (Jun 14, 2020) 4",0.83%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.83%
17,"Shares Short (prior month May 14, 2020) 4",4.5M
18,Forward Annual Dividend Rate 4,3.12
19,Forward Annual Dividend Yield 4,2.51%
20,Trailing Annual Dividend Rate 3,3.00
21,Trailing Annual Dividend Yield 3,2.41%
22,5 Year Average Dividend Yield 4,2.13
23,Payout Ratio 4,37.45%
24,Dividend Date 3,"Jul 09, 2020"
25,Ex-Dividend Date 4,"Jun 17, 2020"
26,Last Split Factor 2,1:2
27,Last Split Date 3,"Apr 18, 2006"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,10.79%
31,Operating Margin (ttm),13.04%
32,Return on Assets (ttm),1.61%
33,Return on Equity (ttm),7.01%
34,Revenue (ttm),33.97B
35,Revenue Per Share (ttm),74.78
36,Quarterly Revenue Growth (yoy),-3.40%
37,Gross Profit (ttm),8.72B
38,EBITDA,4.73B
39,Net Income Avi to Common (ttm),3.67B
40,Diluted EPS (ttm),8.02
41,Quarterly Earnings Growth (yoy),-75.80%
42,Total Cash (mrq),5.1B
43,Total Cash Per Share (mrq),11.3
44,Total Debt (mrq),18.43B
45,Total Debt/Equity (mrq),35.31
46,Current Ratio (mrq),0.35
47,Book Value Per Share (mrq),115.64
48,Operating Cash Flow (ttm),6.73B
49,Levered Free Cash Flow (ttm),5.08B
