,Attribute,Value
0,Beta (5Y Monthly),0.97
1,52-Week Change 3,-33.53%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,30.71
4,52 Week Low 3,11.58
5,50-Day Moving Average 3,18.42
6,200-Day Moving Average 3,20.23
7,Avg Vol (3 month) 3,9.39M
8,Avg Vol (10 day) 3,7.44M
9,Shares Outstanding 5,502.66M
10,Float,501.21M
11,% Held by Insiders 1,0.21%
12,% Held by Institutions 1,88.76%
13,"Shares Short (Jun 14, 2020) 4",14.89M
14,"Short Ratio (Jun 14, 2020) 4",1.41
15,"Short % of Float (Jun 14, 2020) 4",3.37%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.96%
17,"Shares Short (prior month May 14, 2020) 4",20.25M
18,Forward Annual Dividend Rate 4,0.6
19,Forward Annual Dividend Yield 4,3.17%
20,Trailing Annual Dividend Rate 3,1.15
21,Trailing Annual Dividend Yield 3,6.08%
22,5 Year Average Dividend Yield 4,4.36
23,Payout Ratio 4,
24,Dividend Date 3,"Jun 10, 2020"
25,Ex-Dividend Date 4,"May 19, 2020"
26,Last Split Factor 2,1000:843
27,Last Split Date 3,"Sep 30, 2002"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-4.71%
31,Operating Margin (ttm),13.07%
32,Return on Assets (ttm),2.97%
33,Return on Equity (ttm),-5.33%
34,Revenue (ttm),12.24B
35,Revenue Per Share (ttm),24.37
36,Quarterly Revenue Growth (yoy),-2.80%
37,Gross Profit (ttm),3.32B
38,EBITDA,2.91B
39,Net Income Avi to Common (ttm),-522M
40,Diluted EPS (ttm),-1.39
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),946M
43,Total Cash Per Share (mrq),1.88
44,Total Debt (mrq),15.28B
45,Total Debt/Equity (mrq),219.25
46,Current Ratio (mrq),1.03
47,Book Value Per Share (mrq),10.40
48,Operating Cash Flow (ttm),2.03B
49,Levered Free Cash Flow (ttm),-1.47B
