,Attribute,Value
0,Beta (5Y Monthly),1.69
1,52-Week Change 3,-34.56%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,67.13
4,52 Week Low 3,20.84
5,50-Day Moving Average 3,43.30
6,200-Day Moving Average 3,45.92
7,Avg Vol (3 month) 3,8.36M
8,Avg Vol (10 day) 3,6.65M
9,Shares Outstanding 5,1.07B
10,Float,1.07B
11,% Held by Insiders 1,0.04%
12,% Held by Institutions 1,76.33%
13,"Shares Short (Jun 14, 2020) 4",11.82M
14,"Short Ratio (Jun 14, 2020) 4",1.56
15,"Short % of Float (Jun 14, 2020) 4",1.10%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.10%
17,"Shares Short (prior month May 14, 2020) 4",13.6M
18,Forward Annual Dividend Rate 4,1.68
19,Forward Annual Dividend Yield 4,4.38%
20,Trailing Annual Dividend Rate 3,1.45
21,Trailing Annual Dividend Yield 3,3.77%
22,5 Year Average Dividend Yield 4,2.98
23,Payout Ratio 4,45.31%
24,Dividend Date 3,"May 31, 2020"
25,Ex-Dividend Date 4,"Jul 16, 2020"
26,Last Split Factor 2,1311791:1000000
27,Last Split Date 3,"Apr 30, 2012"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,11.90%
31,Operating Margin (ttm),19.35%
32,Return on Assets (ttm),5.39%
33,Return on Equity (ttm),11.50%
34,Revenue (ttm),30.4B
35,Revenue Per Share (ttm),27.55
36,Quarterly Revenue Growth (yoy),-31.50%
37,Gross Profit (ttm),16.18B
38,EBITDA,12.07B
39,Net Income Avi to Common (ttm),3.62B
40,Diluted EPS (ttm),3.27
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),8.19B
43,Total Cash Per Share (mrq),7.64
44,Total Debt (mrq),14.97B
45,Total Debt/Equity (mrq),47.70
46,Current Ratio (mrq),2.16
47,Book Value Per Share (mrq),29.20
48,Operating Cash Flow (ttm),10.31B
49,Levered Free Cash Flow (ttm),2.46B
