,Attribute,Value
0,Beta (5Y Monthly),0.43
1,52-Week Change 3,-5.78%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,90.89
4,52 Week Low 3,57.79
5,50-Day Moving Average 3,82.16
6,200-Day Moving Average 3,80.73
7,Avg Vol (3 month) 3,4.33M
8,Avg Vol (10 day) 3,9.81M
9,Shares Outstanding 5,839.25M
10,Float,836.31M
11,% Held by Insiders 1,0.28%
12,% Held by Institutions 1,72.79%
13,"Shares Short (Jun 14, 2020) 4",13.19M
14,"Short Ratio (Jun 14, 2020) 4",3.24
15,"Short % of Float (Jun 14, 2020) 4",1.58%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.57%
17,"Shares Short (prior month May 14, 2020) 4",13.87M
18,Forward Annual Dividend Rate 4,3.76
19,Forward Annual Dividend Yield 4,5.10%
20,Trailing Annual Dividend Rate 3,3.69
21,Trailing Annual Dividend Yield 3,5.00%
22,5 Year Average Dividend Yield 4,4.10
23,Payout Ratio 4,172.55%
24,Dividend Date 3,"Jun 19, 2020"
25,Ex-Dividend Date 4,"Jun 03, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Nov 19, 2007"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,10.27%
31,Operating Margin (ttm),29.67%
32,Return on Assets (ttm),3.13%
33,Return on Equity (ttm),6.01%
34,Revenue (ttm),17.21B
35,Revenue Per Share (ttm),20.99
36,Quarterly Revenue Growth (yoy),16.50%
37,Gross Profit (ttm),7.97B
38,EBITDA,8.11B
39,Net Income Avi to Common (ttm),1.74B
40,Diluted EPS (ttm),2.09
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.2B
43,Total Cash Per Share (mrq),1.43
44,Total Debt (mrq),41.3B
45,Total Debt/Equity (mrq),126.11
46,Current Ratio (mrq),0.63
47,Book Value Per Share (mrq),33.78
48,Operating Cash Flow (ttm),5.67B
49,Levered Free Cash Flow (ttm),72.25M
