,Attribute,Value
0,Beta (5Y Monthly),1.25
1,52-Week Change 3,-56.09%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,63.44
4,52 Week Low 3,17.51
5,50-Day Moving Average 3,28.85
6,200-Day Moving Average 3,37.52
7,Avg Vol (3 month) 3,56.66M
8,Avg Vol (10 day) 3,28.49M
9,Shares Outstanding 5,637.79M
10,Float,632.65M
11,% Held by Insiders 1,0.38%
12,% Held by Institutions 1,85.17%
13,"Shares Short (Jun 14, 2020) 4",27.18M
14,"Short Ratio (Jun 14, 2020) 4",0.39
15,"Short % of Float (Jun 14, 2020) 4",4.28%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.26%
17,"Shares Short (prior month May 14, 2020) 4",33.09M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,1.56
21,Trailing Annual Dividend Yield 3,6.07%
22,5 Year Average Dividend Yield 4,2.11
23,Payout Ratio 4,29.00%
24,Dividend Date 3,"Mar 11, 2020"
25,Ex-Dividend Date 4,"Feb 18, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,7.76%
31,Operating Margin (ttm),11.75%
32,Return on Assets (ttm),5.07%
33,Return on Equity (ttm),25.74%
34,Revenue (ttm),45.13B
35,Revenue Per Share (ttm),70.07
36,Quarterly Revenue Growth (yoy),-18.00%
37,Gross Profit (ttm),12.92B
38,EBITDA,7.63B
39,Net Income Avi to Common (ttm),3.5B
40,Diluted EPS (ttm),5.43
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),5.97B
43,Total Cash Per Share (mrq),9.4
44,Total Debt (mrq),24.07B
45,Total Debt/Equity (mrq),168.22
46,Current Ratio (mrq),0.53
47,Book Value Per Share (mrq),22.52
48,Operating Cash Flow (ttm),6.84B
49,Levered Free Cash Flow (ttm),-752.5M
