,Attribute,Value
0,Beta (5Y Monthly),1.36
1,52-Week Change 3,15.53%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,125.00
4,52 Week Low 3,73.02
5,50-Day Moving Average 3,114.29
6,200-Day Moving Average 3,105.47
7,Avg Vol (3 month) 3,1.71M
8,Avg Vol (10 day) 3,1.09M
9,Shares Outstanding 5,133.73M
10,Float,132.95M
11,% Held by Insiders 1,0.51%
12,% Held by Institutions 1,94.17%
13,"Shares Short (Jun 14, 2020) 4",3.29M
14,"Short Ratio (Jun 14, 2020) 4",2.11
15,"Short % of Float (Jun 14, 2020) 4",2.79%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.46%
17,"Shares Short (prior month May 14, 2020) 4",4.65M
18,Forward Annual Dividend Rate 4,2.24
19,Forward Annual Dividend Yield 4,1.93%
20,Trailing Annual Dividend Rate 3,2.15
21,Trailing Annual Dividend Yield 3,1.86%
22,5 Year Average Dividend Yield 4,1.95
23,Payout Ratio 4,37.99%
24,Dividend Date 3,"Jul 21, 2020"
25,Ex-Dividend Date 4,"Jul 06, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 20, 2005"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,10.36%
31,Operating Margin (ttm),14.99%
32,Return on Assets (ttm),5.98%
33,Return on Equity (ttm),14.58%
34,Revenue (ttm),7.66B
35,Revenue Per Share (ttm),57.14
36,Quarterly Revenue Growth (yoy),-3.60%
37,Gross Profit (ttm),2.72B
38,EBITDA,1.48B
39,Net Income Avi to Common (ttm),771M
40,Diluted EPS (ttm),5.81
41,Quarterly Earnings Growth (yoy),-39.60%
42,Total Cash (mrq),342M
43,Total Cash Per Share (mrq),2.56
44,Total Debt (mrq),4.59B
45,Total Debt/Equity (mrq),79.43
46,Current Ratio (mrq),1.38
47,Book Value Per Share (mrq),42.22
48,Operating Cash Flow (ttm),1.22B
49,Levered Free Cash Flow (ttm),601.88M
