,Attribute,Value
0,Beta (5Y Monthly),1.51
1,52-Week Change 3,-39.35%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,31.20
4,52 Week Low 3,15.43
5,50-Day Moving Average 3,19.83
6,200-Day Moving Average 3,22.69
7,Avg Vol (3 month) 3,2.46M
8,Avg Vol (10 day) 3,2.31M
9,Shares Outstanding 5,340.16M
10,Float,469.78M
11,% Held by Insiders 1,4.72%
12,% Held by Institutions 1,87.50%
13,"Shares Short (Jun 14, 2020) 4",6.95M
14,"Short Ratio (Jun 14, 2020) 4",2.95
15,"Short % of Float (Jun 14, 2020) 4",2.56%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.37%
17,"Shares Short (prior month May 14, 2020) 4",6.38M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Aug 06, 2014"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,18.54%
31,Operating Margin (ttm),29.59%
32,Return on Assets (ttm),6.25%
33,Return on Equity (ttm),19.89%
34,Revenue (ttm),11.12B
35,Revenue Per Share (ttm),17.41
36,Quarterly Revenue Growth (yoy),-0.90%
37,Gross Profit (ttm),7.39B
38,EBITDA,4.59B
39,Net Income Avi to Common (ttm),1.84B
40,Diluted EPS (ttm),2.51
41,Quarterly Earnings Growth (yoy),-1.80%
42,Total Cash (mrq),1.46B
43,Total Cash Per Share (mrq),2.17
44,Total Debt (mrq),16.11B
45,Total Debt/Equity (mrq),141.25
46,Current Ratio (mrq),1.61
47,Book Value Per Share (mrq),14.05
48,Operating Cash Flow (ttm),3.19B
49,Levered Free Cash Flow (ttm),5.89B
