,Attribute,Value
0,Beta (5Y Monthly),0.64
1,52-Week Change 3,8.72%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,38.88
4,52 Week Low 3,25.19
5,50-Day Moving Average 3,35.64
6,200-Day Moving Average 3,34.30
7,Avg Vol (3 month) 3,2.75M
8,Avg Vol (10 day) 3,1.94M
9,Shares Outstanding 5,368.38M
10,Float,367.51M
11,% Held by Insiders 1,0.18%
12,% Held by Institutions 1,98.07%
13,"Shares Short (Jun 14, 2020) 4",6.42M
14,"Short Ratio (Jun 14, 2020) 4",1.97
15,"Short % of Float (Jun 14, 2020) 4",2.09%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.74%
17,"Shares Short (prior month May 14, 2020) 4",6.93M
18,Forward Annual Dividend Rate 4,0.94
19,Forward Annual Dividend Yield 4,2.62%
20,Trailing Annual Dividend Rate 3,0.92
21,Trailing Annual Dividend Yield 3,2.56%
22,5 Year Average Dividend Yield 4,2.84
23,Payout Ratio 4,81.08%
24,Dividend Date 3,"May 28, 2020"
25,Ex-Dividend Date 4,"May 12, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Aug 25, 1997"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,42.68%
31,Operating Margin (ttm),27.35%
32,Return on Assets (ttm),1.96%
33,Return on Equity (ttm),8.39%
34,Revenue (ttm),946.23M
35,Revenue Per Share (ttm),2.60
36,Quarterly Revenue Growth (yoy),-14.30%
37,Gross Profit (ttm),667.79M
38,EBITDA,553.26M
39,Net Income Avi to Common (ttm),402.08M
40,Diluted EPS (ttm),1.10
41,Quarterly Earnings Growth (yoy),-56.30%
42,Total Cash (mrq),187.56M
43,Total Cash Per Share (mrq),0.51
44,Total Debt (mrq),3.15B
45,Total Debt/Equity (mrq),62.59
46,Current Ratio (mrq),1.99
47,Book Value Per Share (mrq),13.46
48,Operating Cash Flow (ttm),505.89M
49,Levered Free Cash Flow (ttm),855.95M
