,Attribute,Value
0,Beta (5Y Monthly),0.32
1,52-Week Change 3,-9.02%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,103.79
4,52 Week Low 3,62.13
5,50-Day Moving Average 3,84.39
6,200-Day Moving Average 3,87.86
7,Avg Vol (3 month) 3,3.66M
8,Avg Vol (10 day) 3,3.73M
9,Shares Outstanding 5,734.85M
10,Float,733.77M
11,% Held by Insiders 1,0.10%
12,% Held by Institutions 1,65.29%
13,"Shares Short (Jun 14, 2020) 4",37.67M
14,"Short Ratio (Jun 14, 2020) 4",10.36
15,"Short % of Float (Jun 14, 2020) 4",5.13%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",5.13%
17,"Shares Short (prior month May 14, 2020) 4",38.06M
18,Forward Annual Dividend Rate 4,3.86
19,Forward Annual Dividend Yield 4,4.84%
20,Trailing Annual Dividend Rate 3,3.76
21,Trailing Annual Dividend Yield 3,4.72%
22,5 Year Average Dividend Yield 4,4.25
23,Payout Ratio 4,74.21%
24,Dividend Date 3,"Jun 15, 2020"
25,Ex-Dividend Date 4,"Aug 12, 2020"
26,Last Split Factor 2,1:3
27,Last Split Date 3,"Jul 02, 2012"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,15.49%
31,Operating Margin (ttm),23.80%
32,Return on Assets (ttm),2.34%
33,Return on Equity (ttm),7.68%
34,Revenue (ttm),24.44B
35,Revenue Per Share (ttm),33.45
36,Quarterly Revenue Growth (yoy),-3.50%
37,Gross Profit (ttm),11.56B
38,EBITDA,11.06B
39,Net Income Avi to Common (ttm),3.71B
40,Diluted EPS (ttm),5.06
41,Quarterly Earnings Growth (yoy),4.20%
42,Total Cash (mrq),1.45B
43,Total Cash Per Share (mrq),1.98
44,Total Debt (mrq),65.83B
45,Total Debt/Equity (mrq),136.92
46,Current Ratio (mrq),0.67
47,Book Value Per Share (mrq),61.17
48,Operating Cash Flow (ttm),8.52B
49,Levered Free Cash Flow (ttm),-3.29B
