,Attribute,Value
0,Beta (5Y Monthly),0.93
1,52-Week Change 3,52.69%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,141.25
4,52 Week Low 3,85.69
5,50-Day Moving Average 3,127.13
6,200-Day Moving Average 3,112.89
7,Avg Vol (3 month) 3,3.1M
8,Avg Vol (10 day) 3,2.07M
9,Shares Outstanding 5,288.71M
10,Float,287.15M
11,% Held by Insiders 1,0.45%
12,% Held by Institutions 1,95.52%
13,"Shares Short (Jun 14, 2020) 4",6.65M
14,"Short Ratio (Jun 14, 2020) 4",2
15,"Short % of Float (Jun 14, 2020) 4",2.32%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.30%
17,"Shares Short (prior month May 14, 2020) 4",6.04M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Nov 17, 2003"
28,Fiscal Year Ends,"Mar 30, 2020"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,54.88%
31,Operating Margin (ttm),26.19%
32,Return on Assets (ttm),9.03%
33,Return on Equity (ttm),47.51%
34,Revenue (ttm),5.54B
35,Revenue Per Share (ttm),18.90
36,Quarterly Revenue Growth (yoy),12.00%
37,Gross Profit (ttm),4.17B
38,EBITDA,1.6B
39,Net Income Avi to Common (ttm),3.04B
40,Diluted EPS (ttm),10.30
41,Quarterly Earnings Growth (yoy),100.00%
42,Total Cash (mrq),5.74B
43,Total Cash Per Share (mrq),19.87
44,Total Debt (mrq),1.22B
45,Total Debt/Equity (mrq),16.35
46,Current Ratio (mrq),2.45
47,Book Value Per Share (mrq),25.87
48,Operating Cash Flow (ttm),1.8B
49,Levered Free Cash Flow (ttm),1.12B
