,Attribute,Value
0,Beta (5Y Monthly),0.20
1,52-Week Change 3,-18.15%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,95.10
4,52 Week Low 3,62.03
5,50-Day Moving Average 3,73.66
6,200-Day Moving Average 3,81.95
7,Avg Vol (3 month) 3,1.98M
8,Avg Vol (10 day) 3,1.6M
9,Shares Outstanding 5,334.1M
10,Float,333.49M
11,% Held by Insiders 1,0.16%
12,% Held by Institutions 1,63.77%
13,"Shares Short (Jun 14, 2020) 4",5.33M
14,"Short Ratio (Jun 14, 2020) 4",2.65
15,"Short % of Float (Jun 14, 2020) 4",1.59%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.59%
17,"Shares Short (prior month May 14, 2020) 4",4.5M
18,Forward Annual Dividend Rate 4,3.06
19,Forward Annual Dividend Yield 4,4.27%
20,Trailing Annual Dividend Rate 3,2.98
21,Trailing Annual Dividend Yield 3,4.16%
22,5 Year Average Dividend Yield 4,3.56
23,Payout Ratio 4,76.74%
24,Dividend Date 3,"Jun 14, 2020"
25,Ex-Dividend Date 4,"May 11, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jul 02, 1989"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,10.52%
31,Operating Margin (ttm),20.90%
32,Return on Assets (ttm),2.81%
33,Return on Equity (ttm),7.71%
34,Revenue (ttm),12.29B
35,Revenue Per Share (ttm),37.11
36,Quarterly Revenue Growth (yoy),-8.00%
37,Gross Profit (ttm),6.77B
38,EBITDA,4.31B
39,Net Income Avi to Common (ttm),1.29B
40,Diluted EPS (ttm),3.90
41,Quarterly Earnings Growth (yoy),-11.60%
42,Total Cash (mrq),1.4B
43,Total Cash Per Share (mrq),4.18
44,Total Debt (mrq),23.73B
45,Total Debt/Equity (mrq),128.48
46,Current Ratio (mrq),0.80
47,Book Value Per Share (mrq),54.67
48,Operating Cash Flow (ttm),3.08B
49,Levered Free Cash Flow (ttm),-1.19B
