,Attribute,Value
0,Beta (5Y Monthly),1.97
1,52-Week Change 3,-48.85%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,91.36
4,52 Week Low 3,27.00
5,50-Day Moving Average 3,52.07
6,200-Day Moving Average 3,57.00
7,Avg Vol (3 month) 3,5.13M
8,Avg Vol (10 day) 3,4.27M
9,Shares Outstanding 5,582.05M
10,Float,579.23M
11,% Held by Insiders 1,0.34%
12,% Held by Institutions 1,89.21%
13,"Shares Short (Jun 14, 2020) 4",9.63M
14,"Short Ratio (Jun 14, 2020) 4",1.97
15,"Short % of Float (Jun 14, 2020) 4",1.85%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.66%
17,"Shares Short (prior month May 14, 2020) 4",11.74M
18,Forward Annual Dividend Rate 4,1.5
19,Forward Annual Dividend Yield 4,3.38%
20,Trailing Annual Dividend Rate 3,1.24
21,Trailing Annual Dividend Yield 3,2.79%
22,5 Year Average Dividend Yield 4,0.96
23,Payout Ratio 4,29.82%
24,Dividend Date 3,"Jul 30, 2020"
25,Ex-Dividend Date 4,"Jul 15, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Mar 31, 2014"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,12.79%
31,Operating Margin (ttm),17.15%
32,Return on Assets (ttm),4.82%
33,Return on Equity (ttm),10.20%
34,Revenue (ttm),16.49B
35,Revenue Per Share (ttm),28.53
36,Quarterly Revenue Growth (yoy),-14.40%
37,Gross Profit (ttm),9.12B
38,EBITDA,8.62B
39,Net Income Avi to Common (ttm),2.11B
40,Diluted EPS (ttm),3.63
41,Quarterly Earnings Growth (yoy),-98.50%
42,Total Cash (mrq),2.91B
43,Total Cash Per Share (mrq),4.99
44,Total Debt (mrq),5.54B
45,Total Debt/Equity (mrq),25.82
46,Current Ratio (mrq),1.51
47,Book Value Per Share (mrq),36.89
48,Operating Cash Flow (ttm),9.14B
49,Levered Free Cash Flow (ttm),2.18B
