,Attribute,Value
0,Beta (5Y Monthly),1.14
1,52-Week Change 3,7.13%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,105.78
4,52 Week Low 3,56.42
5,50-Day Moving Average 3,87.74
6,200-Day Moving Average 3,87.21
7,Avg Vol (3 month) 3,2.34M
8,Avg Vol (10 day) 3,1.61M
9,Shares Outstanding 5,400M
10,Float,398.68M
11,% Held by Insiders 1,0.24%
12,% Held by Institutions 1,84.77%
13,"Shares Short (Jun 14, 2020) 4",6.32M
14,"Short Ratio (Jun 14, 2020) 4",2.63
15,"Short % of Float (Jun 14, 2020) 4",1.58%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.58%
17,"Shares Short (prior month May 14, 2020) 4",5.24M
18,Forward Annual Dividend Rate 4,2.92
19,Forward Annual Dividend Yield 4,3.41%
20,Trailing Annual Dividend Rate 3,2.86
21,Trailing Annual Dividend Yield 3,3.34%
22,5 Year Average Dividend Yield 4,3.37
23,Payout Ratio 4,56.19%
24,Dividend Date 3,"May 28, 2020"
25,Ex-Dividend Date 4,"May 12, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Feb 28, 2011"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,10.19%
31,Operating Margin (ttm),12.63%
32,Return on Assets (ttm),5.27%
33,Return on Equity (ttm),13.93%
34,Revenue (ttm),20.87B
35,Revenue Per Share (ttm),50.26
36,Quarterly Revenue Growth (yoy),-9.70%
37,Gross Profit (ttm),7.05B
38,EBITDA,3.5B
39,Net Income Avi to Common (ttm),2.13B
40,Diluted EPS (ttm),5.09
41,Quarterly Earnings Growth (yoy),-16.10%
42,Total Cash (mrq),419M
43,Total Cash Per Share (mrq),1.05
44,Total Debt (mrq),8.95B
45,Total Debt/Equity (mrq),62.65
46,Current Ratio (mrq),1.75
47,Book Value Per Share (mrq),35.61
48,Operating Cash Flow (ttm),3.22B
49,Levered Free Cash Flow (ttm),987.12M
