,Attribute,Value
0,Beta (5Y Monthly),0.58
1,52-Week Change 3,19.63%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,64.31
4,52 Week Low 3,46.59
5,50-Day Moving Average 3,61.61
6,200-Day Moving Average 3,56.77
7,Avg Vol (3 month) 3,4.04M
8,Avg Vol (10 day) 3,4.55M
9,Shares Outstanding 5,609.8M
10,Float,608.08M
11,% Held by Insiders 1,0.18%
12,% Held by Institutions 1,74.52%
13,"Shares Short (Jun 14, 2020) 4",17.83M
14,"Short Ratio (Jun 14, 2020) 4",4.39
15,"Short % of Float (Jun 14, 2020) 4",2.93%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.92%
17,"Shares Short (prior month May 14, 2020) 4",13.64M
18,Forward Annual Dividend Rate 4,1.96
19,Forward Annual Dividend Yield 4,3.13%
20,Trailing Annual Dividend Rate 3,1.96
21,Trailing Annual Dividend Yield 3,3.13%
22,5 Year Average Dividend Yield 4,3.54
23,Payout Ratio 4,55.06%
24,Dividend Date 3,"Aug 02, 2020"
25,Ex-Dividend Date 4,"Jul 08, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 08, 2010"
28,Fiscal Year Ends,"May 30, 2020"
29,Most Recent Quarter (mrq),"May 30, 2020"
30,Profit Margin,12.37%
31,Operating Margin (ttm),17.69%
32,Return on Assets (ttm),6.40%
33,Return on Equity (ttm),26.30%
34,Revenue (ttm),17.63B
35,Revenue Per Share (ttm),28.99
36,Quarterly Revenue Growth (yoy),20.70%
37,Gross Profit (ttm),6.16B
38,EBITDA,3.71B
39,Net Income Avi to Common (ttm),2.18B
40,Diluted EPS (ttm),3.56
41,Quarterly Earnings Growth (yoy),9.70%
42,Total Cash (mrq),1.68B
43,Total Cash Per Share (mrq),2.75
44,Total Debt (mrq),13.92B
45,Total Debt/Equity (mrq),156.49
46,Current Ratio (mrq),0.68
47,Book Value Per Share (mrq),13.22
48,Operating Cash Flow (ttm),3.68B
49,Levered Free Cash Flow (ttm),2.73B
