,Attribute,Value
0,Beta (5Y Monthly),1.55
1,52-Week Change 3,-31.23%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,17.09
4,52 Week Low 3,6.96
5,50-Day Moving Average 3,11.40
6,200-Day Moving Average 3,11.42
7,Avg Vol (3 month) 3,8.25M
8,Avg Vol (10 day) 3,7.06M
9,Shares Outstanding 5,348.04M
10,Float,344.41M
11,% Held by Insiders 1,1.22%
12,% Held by Institutions 1,112.02%
13,"Shares Short (Jun 14, 2020) 4",46.82M
14,"Short Ratio (Jun 14, 2020) 4",4.97
15,"Short % of Float (Jun 14, 2020) 4",15.52%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",13.45%
17,"Shares Short (prior month May 14, 2020) 4",56.92M
18,Forward Annual Dividend Rate 4,0.6
19,Forward Annual Dividend Yield 4,5.57%
20,Trailing Annual Dividend Rate 3,0.60
21,Trailing Annual Dividend Yield 3,5.57%
22,5 Year Average Dividend Yield 4,2.91
23,Payout Ratio 4,42.86%
24,Dividend Date 3,"Jun 08, 2020"
25,Ex-Dividend Date 4,"May 17, 2020"
26,Last Split Factor 2,4:1
27,Last Split Date 3,"Mar 03, 2015"
28,Fiscal Year Ends,"Dec 27, 2019"
29,Most Recent Quarter (mrq),"Mar 27, 2020"
30,Profit Margin,7.64%
31,Operating Margin (ttm),12.42%
32,Return on Assets (ttm),6.58%
33,Return on Equity (ttm),53.54%
34,Revenue (ttm),6.7B
35,Revenue Per Share (ttm),18.43
36,Quarterly Revenue Growth (yoy),-17.10%
37,Gross Profit (ttm),2.78B
38,EBITDA,961.95M
39,Net Income Avi to Common (ttm),511.76M
40,Diluted EPS (ttm),1.41
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.08B
43,Total Cash Per Share (mrq),3.11
44,Total Debt (mrq),5.01B
45,Total Debt/Equity (mrq),573.74
46,Current Ratio (mrq),2.21
47,Book Value Per Share (mrq),2.51
48,Operating Cash Flow (ttm),914.51M
49,Levered Free Cash Flow (ttm),740.69M
