,Attribute,Value
0,Beta (5Y Monthly),0.97
1,52-Week Change 3,-35.19%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,62.75
4,52 Week Low 3,19.04
5,50-Day Moving Average 3,39.90
6,200-Day Moving Average 3,45.11
7,Avg Vol (3 month) 3,3.13M
8,Avg Vol (10 day) 3,1.87M
9,Shares Outstanding 5,358.08M
10,Float,356.37M
11,% Held by Insiders 1,0.43%
12,% Held by Institutions 1,93.81%
13,"Shares Short (Jun 14, 2020) 4",3.95M
14,"Short Ratio (Jun 14, 2020) 4",1.11
15,"Short % of Float (Jun 14, 2020) 4",1.25%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.10%
17,"Shares Short (prior month May 14, 2020) 4",4.4M
18,Forward Annual Dividend Rate 4,1.3
19,Forward Annual Dividend Yield 4,3.63%
20,Trailing Annual Dividend Rate 3,1.23
21,Trailing Annual Dividend Yield 3,3.42%
22,5 Year Average Dividend Yield 4,2.01
23,Payout Ratio 4,26.12%
24,Dividend Date 3,"Jul 01, 2020"
25,Ex-Dividend Date 4,"May 28, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jul 15, 1998"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,8.33%
31,Operating Margin (ttm),12.46%
32,Return on Assets (ttm),2.45%
33,Return on Equity (ttm),11.67%
34,Revenue (ttm),20.75B
35,Revenue Per Share (ttm),57.56
36,Quarterly Revenue Growth (yoy),0.30%
37,Gross Profit (ttm),7.64B
38,EBITDA,3.06B
39,Net Income Avi to Common (ttm),1.71B
40,Diluted EPS (ttm),4.70
41,Quarterly Earnings Growth (yoy),-56.70%
42,Total Cash (mrq),2.72B
43,Total Cash Per Share (mrq),7.59
44,Total Debt (mrq),4.44B
45,Total Debt/Equity (mrq),29.06
46,Current Ratio (mrq),1.99
47,Book Value Per Share (mrq),41.72
48,Operating Cash Flow (ttm),3.51B
49,Levered Free Cash Flow (ttm),5.01B
