,Attribute,Value
0,Beta (5Y Monthly),0.16
1,52-Week Change 3,-7.68%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,162.20
4,52 Week Low 3,109.88
5,50-Day Moving Average 3,131.26
6,200-Day Moving Average 3,140.48
7,Avg Vol (3 month) 3,1.32M
8,Avg Vol (10 day) 3,977.87k
9,Shares Outstanding 5,147.4M
10,Float,146.77M
11,% Held by Insiders 1,0.16%
12,% Held by Institutions 1,78.05%
13,"Shares Short (Jun 14, 2020) 4",2.93M
14,"Short Ratio (Jun 14, 2020) 4",1.93
15,"Short % of Float (Jun 14, 2020) 4",2.24%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.41%
17,"Shares Short (prior month May 14, 2020) 4",2.26M
18,Forward Annual Dividend Rate 4,3.09
19,Forward Annual Dividend Yield 4,2.44%
20,Trailing Annual Dividend Rate 3,3.04
21,Trailing Annual Dividend Yield 3,2.40%
22,5 Year Average Dividend Yield 4,2.36
23,Payout Ratio 4,57.38%
24,Dividend Date 3,"Jun 14, 2020"
25,Ex-Dividend Date 4,"May 20, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 15, 2004"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 28, 2020"
30,Profit Margin,13.94%
31,Operating Margin (ttm),20.57%
32,Return on Assets (ttm),12.32%
33,Return on Equity (ttm),71.77%
34,Revenue (ttm),8.01B
35,Revenue Per Share (ttm),38.25
36,Quarterly Revenue Growth (yoy),1.00%
37,Gross Profit (ttm),3.62B
38,EBITDA,1.94B
39,Net Income Avi to Common (ttm),1.12B
40,Diluted EPS (ttm),5.30
41,Quarterly Earnings Growth (yoy),-10.90%
42,Total Cash (mrq),1.09B
43,Total Cash Per Share (mrq),5.26
44,Total Debt (mrq),5.29B
45,Total Debt/Equity (mrq),315.97
46,Current Ratio (mrq),0.99
47,Book Value Per Share (mrq),8.03
48,Operating Cash Flow (ttm),1.68B
49,Levered Free Cash Flow (ttm),988.6M
