,Attribute,Value
0,Beta (5Y Monthly),1.71
1,52-Week Change 3,19.63%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,170.03
4,52 Week Low 3,98.04
5,50-Day Moving Average 3,160.31
6,200-Day Moving Average 3,138.15
7,Avg Vol (3 month) 3,372.83k
8,Avg Vol (10 day) 3,222.32k
9,Shares Outstanding 5,53.03M
10,Float,36.92M
11,% Held by Insiders 1,33.81%
12,% Held by Institutions 1,68.32%
13,"Shares Short (Jun 14, 2020) 4",1.46M
14,"Short Ratio (Jun 14, 2020) 4",3.87
15,"Short % of Float (Jun 14, 2020) 4",5.18%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.76%
17,"Shares Short (prior month May 14, 2020) 4",1.79M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,"Dec 27, 2012"
25,Ex-Dividend Date 4,"Dec 18, 2012"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,12.93%
31,Operating Margin (ttm),19.71%
32,Return on Assets (ttm),5.80%
33,Return on Equity (ttm),7.01%
34,Revenue (ttm),1.25B
35,Revenue Per Share (ttm),23.53
36,Quarterly Revenue Growth (yoy),-20.90%
37,Gross Profit (ttm),606.21M
38,EBITDA,343.74M
39,Net Income Avi to Common (ttm),161.48M
40,Diluted EPS (ttm),3.01
41,Quarterly Earnings Growth (yoy),-34.00%
42,Total Cash (mrq),1.2B
43,Total Cash Per Share (mrq),22.54
44,Total Debt (mrq),45.74M
45,Total Debt/Equity (mrq),1.94
46,Current Ratio (mrq),9.59
47,Book Value Per Share (mrq),44.33
48,Operating Cash Flow (ttm),336.65M
49,Levered Free Cash Flow (ttm),235.16M
