,Attribute,Value
0,Beta (5Y Monthly),1.32
1,52-Week Change 3,-9.92%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,169.14
4,52 Week Low 3,81.79
5,50-Day Moving Average 3,143.15
6,200-Day Moving Average 3,139.80
7,Avg Vol (3 month) 3,1.23M
8,Avg Vol (10 day) 3,842.55k
9,Shares Outstanding 5,190.96M
10,Float,189.48M
11,% Held by Insiders 1,0.79%
12,% Held by Institutions 1,93.83%
13,"Shares Short (Jun 14, 2020) 4",2.6M
14,"Short Ratio (Jun 14, 2020) 4",1.97
15,"Short % of Float (Jun 14, 2020) 4",1.53%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.36%
17,"Shares Short (prior month May 14, 2020) 4",2.7M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,1.93%
31,Operating Margin (ttm),7.71%
32,Return on Assets (ttm),2.33%
33,Return on Equity (ttm),3.96%
34,Revenue (ttm),11.16B
35,Revenue Per Share (ttm),57.59
36,Quarterly Revenue Growth (yoy),2.60%
37,Gross Profit (ttm),3.79B
38,EBITDA,1.89B
39,Net Income Avi to Common (ttm),215M
40,Diluted EPS (ttm),1.09
41,Quarterly Earnings Growth (yoy),41.40%
42,Total Cash (mrq),990M
43,Total Cash Per Share (mrq),5.18
44,Total Debt (mrq),12.68B
45,Total Debt/Equity (mrq),218.60
46,Current Ratio (mrq),1.10
47,Book Value Per Share (mrq),29.02
48,Operating Cash Flow (ttm),1.47B
49,Levered Free Cash Flow (ttm),1.11B
