,Attribute,Value
0,Beta (5Y Monthly),1.54
1,52-Week Change 3,-34.34%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,20.53
4,52 Week Low 3,7.45
5,50-Day Moving Average 3,12.71
6,200-Day Moving Average 3,14.16
7,Avg Vol (3 month) 3,12.98M
8,Avg Vol (10 day) 3,9.32M
9,Shares Outstanding 5,975.41M
10,Float,969.68M
11,% Held by Insiders 1,0.47%
12,% Held by Institutions 1,83.42%
13,"Shares Short (Jun 14, 2020) 4",23.02M
14,"Short Ratio (Jun 14, 2020) 4",1.63
15,"Short % of Float (Jun 14, 2020) 4",2.69%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.36%
17,"Shares Short (prior month May 14, 2020) 4",19.2M
18,Forward Annual Dividend Rate 4,0.74
19,Forward Annual Dividend Yield 4,6.71%
20,Trailing Annual Dividend Rate 3,0.73
21,Trailing Annual Dividend Yield 3,6.57%
22,5 Year Average Dividend Yield 4,2.88
23,Payout Ratio 4,53.70%
24,Dividend Date 3,"Jun 14, 2020"
25,Ex-Dividend Date 4,"May 31, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Mar 08, 1998"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,26.14%
31,Operating Margin (ttm),33.78%
32,Return on Assets (ttm),0.97%
33,Return on Equity (ttm),8.68%
34,Revenue (ttm),5.57B
35,Revenue Per Share (ttm),5.67
36,Quarterly Revenue Growth (yoy),-24.30%
37,Gross Profit (ttm),5.92B
38,EBITDA,
39,Net Income Avi to Common (ttm),1.34B
40,Diluted EPS (ttm),1.36
41,Quarterly Earnings Growth (yoy),-64.10%
42,Total Cash (mrq),3.73B
43,Total Cash Per Share (mrq),3.83
44,Total Debt (mrq),21.43B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),
47,Book Value Per Share (mrq),15.90
48,Operating Cash Flow (ttm),2.17B
49,Levered Free Cash Flow (ttm),
