,Attribute,Value
0,Beta (5Y Monthly),1.02
1,52-Week Change 3,5.22%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,34.00
4,52 Week Low 3,19.99
5,50-Day Moving Average 3,31.92
6,200-Day Moving Average 3,28.99
7,Avg Vol (3 month) 3,6.28M
8,Avg Vol (10 day) 3,4.49M
9,Shares Outstanding 5,1.22B
10,Float,969.63M
11,% Held by Insiders 1,0.68%
12,% Held by Institutions 1,105.16%
13,"Shares Short (Jun 14, 2020) 4",17.36M
14,"Short Ratio (Jun 14, 2020) 4",2.54
15,"Short % of Float (Jun 14, 2020) 4",2.69%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.42%
17,"Shares Short (prior month May 14, 2020) 4",15.41M
18,Forward Annual Dividend Rate 4,1.6
19,Forward Annual Dividend Yield 4,5.10%
20,Trailing Annual Dividend Rate 3,1.60
21,Trailing Annual Dividend Yield 3,5.10%
22,5 Year Average Dividend Yield 4,3.91
23,Payout Ratio 4,102.56%
24,Dividend Date 3,"Jun 25, 2020"
25,Ex-Dividend Date 4,"May 27, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 27, 2019"
29,Most Recent Quarter (mrq),"Mar 27, 2020"
30,Profit Margin,7.58%
31,Operating Margin (ttm),21.08%
32,Return on Assets (ttm),3.20%
33,Return on Equity (ttm),3.71%
34,Revenue (ttm),25.17B
35,Revenue Per Share (ttm),20.61
36,Quarterly Revenue Growth (yoy),3.30%
37,Gross Profit (ttm),8.2B
38,EBITDA,6.3B
39,Net Income Avi to Common (ttm),1.91B
40,Diluted EPS (ttm),1.56
41,Quarterly Earnings Growth (yoy),-6.70%
42,Total Cash (mrq),5.4B
43,Total Cash Per Share (mrq),4.42
44,Total Debt (mrq),32.78B
45,Total Debt/Equity (mrq),64.12
46,Current Ratio (mrq),1.48
47,Book Value Per Share (mrq),41.74
48,Operating Cash Flow (ttm),3.46B
49,Levered Free Cash Flow (ttm),4.51B
