,Attribute,Value
0,Beta (5Y Monthly),1.76
1,52-Week Change 3,-57.19%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,59.28
4,52 Week Low 3,10.89
5,50-Day Moving Average 3,22.05
6,200-Day Moving Average 3,28.59
7,Avg Vol (3 month) 3,11.24M
8,Avg Vol (10 day) 3,9.24M
9,Shares Outstanding 5,157.74M
10,Float,156.01M
11,% Held by Insiders 1,1.14%
12,% Held by Institutions 1,100.66%
13,"Shares Short (Jun 14, 2020) 4",20.01M
14,"Short Ratio (Jun 14, 2020) 4",1.41
15,"Short % of Float (Jun 14, 2020) 4",14.44%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",12.69%
17,"Shares Short (prior month May 14, 2020) 4",21.7M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,2.71
21,Trailing Annual Dividend Yield 3,13.17%
22,5 Year Average Dividend Yield 4,5.03
23,Payout Ratio 4,577.45%
24,Dividend Date 3,"Mar 31, 2020"
25,Ex-Dividend Date 4,"Mar 16, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Apr 24, 2000"
28,Fiscal Year Ends,"Jan 31, 2020"
29,Most Recent Quarter (mrq),"May 01, 2020"
30,Profit Margin,0.48%
31,Operating Margin (ttm),2.08%
32,Return on Assets (ttm),1.57%
33,Return on Equity (ttm),1.72%
34,Revenue (ttm),18.31B
35,Revenue Per Share (ttm),117.97
36,Quarterly Revenue Growth (yoy),-40.60%
37,Gross Profit (ttm),7.83B
38,EBITDA,1.29B
39,Net Income Avi to Common (ttm),88M
40,Diluted EPS (ttm),0.56
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),2.04B
43,Total Cash Per Share (mrq),12.93
44,Total Debt (mrq),7.69B
45,Total Debt/Equity (mrq),160.50
46,Current Ratio (mrq),1.88
47,Book Value Per Share (mrq),30.32
48,Operating Cash Flow (ttm),1.57B
49,Levered Free Cash Flow (ttm),741.37M
