,Attribute,Value
0,Beta (5Y Monthly),2.23
1,52-Week Change 3,-33.98%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,69.65
4,52 Week Low 3,15.26
5,50-Day Moving Average 3,37.13
6,200-Day Moving Average 3,39.47
7,Avg Vol (3 month) 3,9.94M
8,Avg Vol (10 day) 3,8.6M
9,Shares Outstanding 5,650M
10,Float,646.35M
11,% Held by Insiders 1,0.60%
12,% Held by Institutions 1,78.82%
13,"Shares Short (Jun 14, 2020) 4",25.65M
14,"Short Ratio (Jun 14, 2020) 4",2.52
15,"Short % of Float (Jun 14, 2020) 4",3.96%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.94%
17,"Shares Short (prior month May 14, 2020) 4",24.08M
18,Forward Annual Dividend Rate 4,2.32
19,Forward Annual Dividend Yield 4,6.79%
20,Trailing Annual Dividend Rate 3,2.22
21,Trailing Annual Dividend Yield 3,6.66%
22,5 Year Average Dividend Yield 4,3.15
23,Payout Ratio 4,
24,Dividend Date 3,"Jun 09, 2020"
25,Ex-Dividend Date 4,"May 18, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 10, 2015"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-5.44%
31,Operating Margin (ttm),2.41%
32,Return on Assets (ttm),2.00%
33,Return on Equity (ttm),-18.99%
34,Revenue (ttm),121.11B
35,Revenue Per Share (ttm),185.54
36,Quarterly Revenue Growth (yoy),-10.60%
37,Gross Profit (ttm),13.87B
38,EBITDA,6.61B
39,Net Income Avi to Common (ttm),-6.59B
40,Diluted EPS (ttm),-10.10
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.69B
43,Total Cash Per Share (mrq),2.6
44,Total Debt (mrq),34.19B
45,Total Debt/Equity (mrq),106.19
46,Current Ratio (mrq),1.16
47,Book Value Per Share (mrq),37.06
48,Operating Cash Flow (ttm),7.05B
49,Levered Free Cash Flow (ttm),255.62M
