,Attribute,Value
0,Beta (5Y Monthly),1.23
1,52-Week Change 3,-41.76%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,174.37
4,52 Week Low 3,85.09
5,50-Day Moving Average 3,108.26
6,200-Day Moving Average 3,126.09
7,Avg Vol (3 month) 3,938.6k
8,Avg Vol (10 day) 3,742.37k
9,Shares Outstanding 5,128.27M
10,Float,127.48M
11,% Held by Insiders 1,0.43%
12,% Held by Institutions 1,84.57%
13,"Shares Short (Jun 14, 2020) 4",2.08M
14,"Short Ratio (Jun 14, 2020) 4",1.92
15,"Short % of Float (Jun 14, 2020) 4",1.83%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.62%
17,"Shares Short (prior month May 14, 2020) 4",2.14M
18,Forward Annual Dividend Rate 4,4.4
19,Forward Annual Dividend Yield 4,4.62%
20,Trailing Annual Dividend Rate 3,4.20
21,Trailing Annual Dividend Yield 3,4.41%
22,5 Year Average Dividend Yield 4,2.27
23,Payout Ratio 4,34.06%
24,Dividend Date 3,"Jun 29, 2020"
25,Ex-Dividend Date 4,"May 28, 2020"
26,Last Split Factor 2,10:1
27,Last Split Date 3,"Oct 05, 2000"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,30.12%
31,Operating Margin (ttm),41.71%
32,Return on Assets (ttm),1.40%
33,Return on Equity (ttm),10.92%
34,Revenue (ttm),5.7B
35,Revenue Per Share (ttm),43.02
36,Quarterly Revenue Growth (yoy),-17.80%
37,Gross Profit (ttm),5.97B
38,EBITDA,
39,Net Income Avi to Common (ttm),1.64B
40,Diluted EPS (ttm),12.37
41,Quarterly Earnings Growth (yoy),-44.30%
42,Total Cash (mrq),11.44B
43,Total Cash Per Share (mrq),89.22
44,Total Debt (mrq),6.55B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),
47,Book Value Per Share (mrq),113.54
48,Operating Cash Flow (ttm),1.55B
49,Levered Free Cash Flow (ttm),
