,Attribute,Value
0,Beta (5Y Monthly),2.60
1,52-Week Change 3,-58.57%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,27.31
4,52 Week Low 3,2.73
5,50-Day Moving Average 3,9.84
6,200-Day Moving Average 3,12.65
7,Avg Vol (3 month) 3,11.13M
8,Avg Vol (10 day) 3,9.63M
9,Shares Outstanding 5,479.7M
10,Float,473.63M
11,% Held by Insiders 1,1.29%
12,% Held by Institutions 1,99.06%
13,"Shares Short (Jun 14, 2020) 4",16.72M
14,"Short Ratio (Jun 14, 2020) 4",1.41
15,"Short % of Float (Jun 14, 2020) 4",4.59%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.49%
17,"Shares Short (prior month May 14, 2020) 4",23.02M
18,Forward Annual Dividend Rate 4,0.08
19,Forward Annual Dividend Yield 4,0.93%
20,Trailing Annual Dividend Rate 3,0.48
21,Trailing Annual Dividend Yield 3,5.56%
22,5 Year Average Dividend Yield 4,1.82
23,Payout Ratio 4,
24,Dividend Date 3,"May 25, 2020"
25,Ex-Dividend Date 4,"May 07, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"May 28, 2013"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-117.43%
31,Operating Margin (ttm),-19.72%
32,Return on Assets (ttm),-2.80%
33,Return on Equity (ttm),-66.92%
34,Revenue (ttm),4.4B
35,Revenue Per Share (ttm),9.19
36,Quarterly Revenue Growth (yoy),0.90%
37,Gross Profit (ttm),2.82B
38,EBITDA,2.47B
39,Net Income Avi to Common (ttm),-5.16B
40,Diluted EPS (ttm),-10.79
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.4B
43,Total Cash Per Share (mrq),2.91
44,Total Debt (mrq),8.94B
45,Total Debt/Equity (mrq),173.42
46,Current Ratio (mrq),1.32
47,Book Value Per Share (mrq),9.17
48,Operating Cash Flow (ttm),1.95B
49,Levered Free Cash Flow (ttm),53.25M
