,Attribute,Value
0,Beta (5Y Monthly),1.23
1,52-Week Change 3,-37.51%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,24.69
4,52 Week Low 3,11.62
5,50-Day Moving Average 3,14.98
6,200-Day Moving Average 3,16.38
7,Avg Vol (3 month) 3,4.03M
8,Avg Vol (10 day) 3,2.28M
9,Shares Outstanding 5,356.48M
10,Float,327.22M
11,% Held by Insiders 1,0.66%
12,% Held by Institutions 1,107.57%
13,"Shares Short (Jun 14, 2020) 4",30.25M
14,"Short Ratio (Jun 14, 2020) 4",7.18
15,"Short % of Float (Jun 14, 2020) 4",9.80%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",8.49%
17,"Shares Short (prior month May 14, 2020) 4",26.37M
18,Forward Annual Dividend Rate 4,0.24
19,Forward Annual Dividend Yield 4,1.67%
20,Trailing Annual Dividend Rate 3,0.82
21,Trailing Annual Dividend Yield 3,5.69%
22,5 Year Average Dividend Yield 4,4.05
23,Payout Ratio 4,
24,Dividend Date 3,"Jun 17, 2020"
25,Ex-Dividend Date 4,"Jun 02, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-7.33%
31,Operating Margin (ttm),11.35%
32,Return on Assets (ttm),3.08%
33,Return on Equity (ttm),-17.74%
34,Revenue (ttm),6.49B
35,Revenue Per Share (ttm),18.24
36,Quarterly Revenue Growth (yoy),-0.30%
37,Gross Profit (ttm),3.68B
38,EBITDA,1.11B
39,Net Income Avi to Common (ttm),-476M
40,Diluted EPS (ttm),-1.34
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),359M
43,Total Cash Per Share (mrq),1.01
44,Total Debt (mrq),8.95B
45,Total Debt/Equity (mrq),401.12
46,Current Ratio (mrq),0.78
47,Book Value Per Share (mrq),5.73
48,Operating Cash Flow (ttm),1.1B
49,Levered Free Cash Flow (ttm),527.62M
