,Attribute,Value
0,Beta (5Y Monthly),1.05
1,52-Week Change 3,-7.52%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,41.78
4,52 Week Low 3,19.54
5,50-Day Moving Average 3,34.27
6,200-Day Moving Average 3,33.81
7,Avg Vol (3 month) 3,2.71M
8,Avg Vol (10 day) 3,2.05M
9,Shares Outstanding 5,244.09M
10,Float,242.25M
11,% Held by Insiders 1,0.81%
12,% Held by Institutions 1,98.22%
13,"Shares Short (Jun 14, 2020) 4",6.54M
14,"Short Ratio (Jun 14, 2020) 4",2.42
15,"Short % of Float (Jun 14, 2020) 4",3.08%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.68%
17,"Shares Short (prior month May 14, 2020) 4",6.06M
18,Forward Annual Dividend Rate 4,1.2
19,Forward Annual Dividend Yield 4,3.71%
20,Trailing Annual Dividend Rate 3,0.66
21,Trailing Annual Dividend Yield 3,2.04%
22,5 Year Average Dividend Yield 4,1.45
23,Payout Ratio 4,2.48%
24,Dividend Date 3,"May 14, 2020"
25,Ex-Dividend Date 4,"Apr 29, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"May 31, 2007"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,42.14%
31,Operating Margin (ttm),13.63%
32,Return on Assets (ttm),7.38%
33,Return on Equity (ttm),"51,837.50%"
34,Revenue (ttm),9.67B
35,Revenue Per Share (ttm),38.02
36,Quarterly Revenue Growth (yoy),-6.70%
37,Gross Profit (ttm),2.52B
38,EBITDA,1.86B
39,Net Income Avi to Common (ttm),4.14B
40,Diluted EPS (ttm),15.90
41,Quarterly Earnings Growth (yoy),-74.90%
42,Total Cash (mrq),759M
43,Total Cash Per Share (mrq),3.11
44,Total Debt (mrq),6.99B
45,Total Debt/Equity (mrq),455.14
46,Current Ratio (mrq),1.22
47,Book Value Per Share (mrq),6.25
48,Operating Cash Flow (ttm),1.71B
49,Levered Free Cash Flow (ttm),1.18B
