,Attribute,Value
0,Beta (5Y Monthly),2.12
1,52-Week Change 3,-62.36%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,78.48
4,52 Week Low 3,12.16
5,50-Day Moving Average 3,35.53
6,200-Day Moving Average 3,46.58
7,Avg Vol (3 month) 3,7.19M
8,Avg Vol (10 day) 3,7.91M
9,Shares Outstanding 5,444.01M
10,Float,411.04M
11,% Held by Insiders 1,0.67%
12,% Held by Institutions 1,75.92%
13,"Shares Short (Jun 14, 2020) 4",14.11M
14,"Short Ratio (Jun 14, 2020) 4",1.85
15,"Short % of Float (Jun 14, 2020) 4",4.40%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.41%
17,"Shares Short (prior month May 14, 2020) 4",12.44M
18,Forward Annual Dividend Rate 4,3.74
19,Forward Annual Dividend Yield 4,14.30%
20,Trailing Annual Dividend Rate 3,3.67
21,Trailing Annual Dividend Yield 3,14.05%
22,5 Year Average Dividend Yield 4,5.93
23,Payout Ratio 4,187.76%
24,Dividend Date 3,"May 13, 2020"
25,Ex-Dividend Date 4,"Apr 23, 2020"
26,Last Split Factor 2,11422:10000
27,Last Split Date 3,"Feb 02, 2014"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,8.40%
31,Operating Margin (ttm),20.53%
32,Return on Assets (ttm),5.97%
33,Return on Equity (ttm),13.32%
34,Revenue (ttm),9.52B
35,Revenue Per Share (ttm),23.00
36,Quarterly Revenue Growth (yoy),-23.10%
37,Gross Profit (ttm),3.38B
38,EBITDA,2.45B
39,Net Income Avi to Common (ttm),798.41M
40,Diluted EPS (ttm),1.92
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),531.63M
43,Total Cash Per Share (mrq),1.28
44,Total Debt (mrq),14.53B
45,Total Debt/Equity (mrq),261.33
46,Current Ratio (mrq),1.36
47,Book Value Per Share (mrq),13.44
48,Operating Cash Flow (ttm),2.02B
49,Levered Free Cash Flow (ttm),-2.41B
