,Attribute,Value
0,Beta (5Y Monthly),1.98
1,52-Week Change 3,-67.64%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,54.05
4,52 Week Low 3,9.00
5,50-Day Moving Average 3,17.84
6,200-Day Moving Average 3,24.35
7,Avg Vol (3 month) 3,42.2M
8,Avg Vol (10 day) 3,22.06M
9,Shares Outstanding 5,916.78M
10,Float,897.35M
11,% Held by Insiders 1,0.17%
12,% Held by Institutions 1,84.51%
13,"Shares Short (Jun 14, 2020) 4",52.98M
14,"Short Ratio (Jun 14, 2020) 4",1.08
15,"Short % of Float (Jun 14, 2020) 4",6.42%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",5.78%
17,"Shares Short (prior month May 14, 2020) 4",77.05M
18,Forward Annual Dividend Rate 4,0.04
19,Forward Annual Dividend Yield 4,0.23%
20,Trailing Annual Dividend Rate 3,3.15
21,Trailing Annual Dividend Yield 3,19.35%
22,5 Year Average Dividend Yield 4,5.97
23,Payout Ratio 4,
24,Dividend Date 3,"Jul 14, 2020"
25,Ex-Dividend Date 4,"Jun 11, 2020"
26,Last Split Factor 2,10000:9983
27,Last Split Date 3,"Feb 24, 2016"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-14.52%
31,Operating Margin (ttm),8.81%
32,Return on Assets (ttm),1.72%
33,Return on Equity (ttm),-12.00%
34,Revenue (ttm),22.8B
35,Revenue Per Share (ttm),26.93
36,Quarterly Revenue Growth (yoy),60.10%
37,Gross Profit (ttm),12.06B
38,EBITDA,10.12B
39,Net Income Avi to Common (ttm),-3.83B
40,Diluted EPS (ttm),-4.55
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),2.02B
43,Total Cash Per Share (mrq),2.25
44,Total Debt (mrq),41.79B
45,Total Debt/Equity (mrq),133.53
46,Current Ratio (mrq),1.18
47,Book Value Per Share (mrq),23.92
48,Operating Cash Flow (ttm),7.77B
49,Levered Free Cash Flow (ttm),-661.5M
