,Attribute,Value
0,Beta (5Y Monthly),0.67
1,52-Week Change 3,-17.49%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,37.93
4,52 Week Low 3,18.63
5,50-Day Moving Average 3,27.21
6,200-Day Moving Average 3,29.10
7,Avg Vol (3 month) 3,4.87M
8,Avg Vol (10 day) 3,3.89M
9,Shares Outstanding 5,538.27M
10,Float,536.78M
11,% Held by Insiders 1,0.15%
12,% Held by Institutions 1,96.75%
13,"Shares Short (Jun 14, 2020) 4",7.63M
14,"Short Ratio (Jun 14, 2020) 4",1.34
15,"Short % of Float (Jun 14, 2020) 4",1.93%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.42%
17,"Shares Short (prior month May 14, 2020) 4",10.68M
18,Forward Annual Dividend Rate 4,1.48
19,Forward Annual Dividend Yield 4,5.51%
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,5.66
23,Payout Ratio 4,296.00%
24,Dividend Date 3,"May 18, 2020"
25,Ex-Dividend Date 4,"May 06, 2020"
26,Last Split Factor 2,1098:1000
27,Last Split Date 3,"Oct 31, 2016"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,12.26%
31,Operating Margin (ttm),10.74%
32,Return on Assets (ttm),0.99%
33,Return on Equity (ttm),3.91%
34,Revenue (ttm),2.15B
35,Revenue Per Share (ttm),4.35
36,Quarterly Revenue Growth (yoy),34.20%
37,Gross Profit (ttm),1.11B
38,EBITDA,943.42M
39,Net Income Avi to Common (ttm),260.42M
40,Diluted EPS (ttm),
41,Quarterly Earnings Growth (yoy),354.00%
42,Total Cash (mrq),783.54M
43,Total Cash Per Share (mrq),1.46
44,Total Debt (mrq),6.55B
45,Total Debt/Equity (mrq),83.78
46,Current Ratio (mrq),1.69
47,Book Value Per Share (mrq),
48,Operating Cash Flow (ttm),782.53M
49,Levered Free Cash Flow (ttm),1.08B
