,Attribute,Value
0,Beta (5Y Monthly),0.32
1,52-Week Change 3,-16.54%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,105.51
4,52 Week Low 3,60.05
5,50-Day Moving Average 3,76.03
6,200-Day Moving Average 3,82.90
7,Avg Vol (3 month) 3,1.2M
8,Avg Vol (10 day) 3,885.28k
9,Shares Outstanding 5,112.49M
10,Float,112.16M
11,% Held by Insiders 1,0.43%
12,% Held by Institutions 1,87.19%
13,"Shares Short (Jun 14, 2020) 4",2.61M
14,"Short Ratio (Jun 14, 2020) 4",1.9
15,"Short % of Float (Jun 14, 2020) 4",3.06%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.32%
17,"Shares Short (prior month May 14, 2020) 4",2.88M
18,Forward Annual Dividend Rate 4,3.13
19,Forward Annual Dividend Yield 4,4.10%
20,Trailing Annual Dividend Rate 3,3.04
21,Trailing Annual Dividend Yield 3,3.99%
22,5 Year Average Dividend Yield 4,3.35
23,Payout Ratio 4,62.30%
24,Dividend Date 3,"Aug 31, 2020"
25,Ex-Dividend Date 4,"Jul 30, 2020"
26,Last Split Factor 2,10:1
27,Last Split Date 3,"Apr 27, 2011"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,16.22%
31,Operating Margin (ttm),20.16%
32,Return on Assets (ttm),2.35%
33,Return on Equity (ttm),10.38%
34,Revenue (ttm),3.39B
35,Revenue Per Share (ttm),30.16
36,Quarterly Revenue Growth (yoy),-10.60%
37,Gross Profit (ttm),1.49B
38,EBITDA,1.35B
39,Net Income Avi to Common (ttm),550.4M
40,Diluted EPS (ttm),4.88
41,Quarterly Earnings Growth (yoy),67.40%
42,Total Cash (mrq),63.14M
43,Total Cash Per Share (mrq),0.56
44,Total Debt (mrq),6.11B
45,Total Debt/Equity (mrq),109.17
46,Current Ratio (mrq),0.47
47,Book Value Per Share (mrq),48.62
48,Operating Cash Flow (ttm),966.92M
49,Levered Free Cash Flow (ttm),-381.18M
