,Attribute,Value
0,Beta (5Y Monthly),0.13
1,52-Week Change 3,-22.11%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,266.76
4,52 Week Low 3,155.37
5,50-Day Moving Average 3,197.68
6,200-Day Moving Average 3,203.35
7,Avg Vol (3 month) 3,1.02M
8,Avg Vol (10 day) 3,743.05k
9,Shares Outstanding 5,174.79M
10,Float,151.48M
11,% Held by Insiders 1,13.27%
12,% Held by Institutions 1,80.70%
13,"Shares Short (Jun 14, 2020) 4",4.78M
14,"Short Ratio (Jun 14, 2020) 4",4.73
15,"Short % of Float (Jun 14, 2020) 4",3.66%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.74%
17,"Shares Short (prior month May 14, 2020) 4",5.06M
18,Forward Annual Dividend Rate 4,8
19,Forward Annual Dividend Yield 4,4.09%
20,Trailing Annual Dividend Rate 3,8.00
21,Trailing Annual Dividend Yield 3,4.09%
22,5 Year Average Dividend Yield 4,3.46
23,Payout Ratio 4,108.84%
24,Dividend Date 3,"Jun 29, 2020"
25,Ex-Dividend Date 4,"Jun 11, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,51.54%
31,Operating Margin (ttm),52.13%
32,Return on Assets (ttm),8.47%
33,Return on Equity (ttm),16.83%
34,Revenue (ttm),2.95B
35,Revenue Per Share (ttm),16.92
36,Quarterly Revenue Growth (yoy),4.70%
37,Gross Profit (ttm),2.12B
38,EBITDA,2.06B
39,Net Income Avi to Common (ttm),1.28B
40,Diluted EPS (ttm),7.35
41,Quarterly Earnings Growth (yoy),-0.10%
42,Total Cash (mrq),718.43M
43,Total Cash Per Share (mrq),4.11
44,Total Debt (mrq),2.44B
45,Total Debt/Equity (mrq),27.01
46,Current Ratio (mrq),2.07
47,Book Value Per Share (mrq),28.36
48,Operating Cash Flow (ttm),2.06B
49,Levered Free Cash Flow (ttm),1.44B
