,Attribute,Value
0,Beta (5Y Monthly),2.51
1,52-Week Change 3,-54.12%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,135.32
4,52 Week Low 3,19.25
5,50-Day Moving Average 3,55.20
6,200-Day Moving Average 3,69.09
7,Avg Vol (3 month) 3,21.53M
8,Avg Vol (10 day) 3,13.99M
9,Shares Outstanding 5,209.38M
10,Float,175.72M
11,% Held by Insiders 1,18.45%
12,% Held by Institutions 1,75.90%
13,"Shares Short (Jun 14, 2020) 4",24.97M
14,"Short Ratio (Jun 14, 2020) 4",0.97
15,"Short % of Float (Jun 14, 2020) 4",14.62%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",11.93%
17,"Shares Short (prior month May 14, 2020) 4",25.28M
18,Forward Annual Dividend Rate 4,3.12
19,Forward Annual Dividend Yield 4,6.62%
20,Trailing Annual Dividend Rate 3,3.04
21,Trailing Annual Dividend Yield 3,6.45%
22,5 Year Average Dividend Yield 4,2.34
23,Payout Ratio 4,357.65%
24,Dividend Date 3,"Apr 05, 2020"
25,Ex-Dividend Date 4,"Mar 04, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Aug 02, 1998"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,1.75%
31,Operating Margin (ttm),14.99%
32,Return on Assets (ttm),3.18%
33,Return on Equity (ttm),1.89%
34,Revenue (ttm),10.54B
35,Revenue Per Share (ttm),50.36
36,Quarterly Revenue Growth (yoy),-16.70%
37,Gross Profit (ttm),5.1B
38,EBITDA,2.86B
39,Net Income Avi to Common (ttm),184.73M
40,Diluted EPS (ttm),0.88
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),3.89B
43,Total Cash Per Share (mrq),18.58
44,Total Debt (mrq),16.83B
45,Total Debt/Equity (mrq),155.65
46,Current Ratio (mrq),0.51
47,Book Value Per Share (mrq),48.87
48,Operating Cash Flow (ttm),2.84B
49,Levered Free Cash Flow (ttm),-1.45B
