,Attribute,Value
0,Beta (5Y Monthly),0.62
1,52-Week Change 3,-6.32%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,100.91
4,52 Week Low 3,65.37
5,50-Day Moving Average 3,83.12
6,200-Day Moving Average 3,85.38
7,Avg Vol (3 month) 3,1.33M
8,Avg Vol (10 day) 3,1.37M
9,Shares Outstanding 5,318.1M
10,Float,208.87M
11,% Held by Insiders 1,0.17%
12,% Held by Institutions 1,94.47%
13,"Shares Short (Jun 14, 2020) 4",2.49M
14,"Short Ratio (Jun 14, 2020) 4",2
15,"Short % of Float (Jun 14, 2020) 4",1.19%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.78%
17,"Shares Short (prior month May 14, 2020) 4",3.31M
18,Forward Annual Dividend Rate 4,1.62
19,Forward Annual Dividend Yield 4,2.01%
20,Trailing Annual Dividend Rate 3,1.59
21,Trailing Annual Dividend Yield 3,1.98%
22,5 Year Average Dividend Yield 4,2.08
23,Payout Ratio 4,47.04%
24,Dividend Date 3,"Jul 14, 2020"
25,Ex-Dividend Date 4,"Jun 29, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Mar 18, 2007"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,10.45%
31,Operating Margin (ttm),17.18%
32,Return on Assets (ttm),4.99%
33,Return on Equity (ttm),13.54%
34,Revenue (ttm),10.38B
35,Revenue Per Share (ttm),32.41
36,Quarterly Revenue Growth (yoy),3.40%
37,Gross Profit (ttm),4.08B
38,EBITDA,2.89B
39,Net Income Avi to Common (ttm),1.09B
40,Diluted EPS (ttm),3.38
41,Quarterly Earnings Growth (yoy),5.20%
42,Total Cash (mrq),306.6M
43,Total Cash Per Share (mrq),0.96
44,Total Debt (mrq),9.36B
45,Total Debt/Equity (mrq),115.25
46,Current Ratio (mrq),0.89
47,Book Value Per Share (mrq),25.52
48,Operating Cash Flow (ttm),2.37B
49,Levered Free Cash Flow (ttm),820.21M
