,Attribute,Value
0,Beta (5Y Monthly),2.24
1,52-Week Change 3,-3.10%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,270.95
4,52 Week Low 3,127.39
5,50-Day Moving Average 3,215.61
6,200-Day Moving Average 3,207.67
7,Avg Vol (3 month) 3,459.3k
8,Avg Vol (10 day) 3,306.47k
9,Shares Outstanding 5,51.51M
10,Float,51.21M
11,% Held by Insiders 1,0.44%
12,% Held by Institutions 1,94.70%
13,"Shares Short (Jun 14, 2020) 4",1.41M
14,"Short Ratio (Jun 14, 2020) 4",2.74
15,"Short % of Float (Jun 14, 2020) 4",3.10%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.75%
17,"Shares Short (prior month May 14, 2020) 4",1.9M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,"Feb 09, 1992"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"May 15, 2000"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,32.38%
31,Operating Margin (ttm),46.88%
32,Return on Assets (ttm),1.52%
33,Return on Equity (ttm),16.21%
34,Revenue (ttm),3.04B
35,Revenue Per Share (ttm),58.82
36,Quarterly Revenue Growth (yoy),-23.80%
37,Gross Profit (ttm),3.22B
38,EBITDA,
39,Net Income Avi to Common (ttm),980.38M
40,Diluted EPS (ttm),18.84
41,Quarterly Earnings Growth (yoy),-53.00%
42,Total Cash (mrq),2.83B
43,Total Cash Per Share (mrq),55.01
44,Total Debt (mrq),3.94B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),
47,Book Value Per Share (mrq),130.02
48,Operating Cash Flow (ttm),991.5M
49,Levered Free Cash Flow (ttm),
