,Attribute,Value
0,Beta (5Y Monthly),1.18
1,52-Week Change 3,44.05%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,204.90
4,52 Week Low 3,104.90
5,50-Day Moving Average 3,187.98
6,200-Day Moving Average 3,155.67
7,Avg Vol (3 month) 3,1.01M
8,Avg Vol (10 day) 3,730.9k
9,Shares Outstanding 5,150.79M
10,Float,149.81M
11,% Held by Insiders 1,0.73%
12,% Held by Institutions 1,91.04%
13,"Shares Short (Jun 14, 2020) 4",2.01M
14,"Short Ratio (Jun 14, 2020) 4",1.8
15,"Short % of Float (Jun 14, 2020) 4",1.52%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.34%
17,"Shares Short (prior month May 14, 2020) 4",1.8M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Sep 23, 2003"
28,Fiscal Year Ends,"Oct 30, 2019"
29,Most Recent Quarter (mrq),"Apr 29, 2020"
30,Profit Margin,13.96%
31,Operating Margin (ttm),15.94%
32,Return on Assets (ttm),5.01%
33,Return on Equity (ttm),11.58%
34,Revenue (ttm),3.4B
35,Revenue Per Share (ttm),22.61
36,Quarterly Revenue Growth (yoy),3.00%
37,Gross Profit (ttm),2.67B
38,EBITDA,691.84M
39,Net Income Avi to Common (ttm),474.62M
40,Diluted EPS (ttm),3.07
41,Quarterly Earnings Growth (yoy),-7.00%
42,Total Cash (mrq),856.42M
43,Total Cash Per Share (mrq),5.68
44,Total Debt (mrq),770.34M
45,Total Debt/Equity (mrq),18.00
46,Current Ratio (mrq),0.95
47,Book Value Per Share (mrq),28.33
48,Operating Cash Flow (ttm),981.45M
49,Levered Free Cash Flow (ttm),775.72M
