,Attribute,Value
0,Beta (5Y Monthly),1.54
1,52-Week Change 3,15.64%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,85.89
4,52 Week Low 3,42.10
5,50-Day Moving Average 3,64.04
6,200-Day Moving Average 3,65.24
7,Avg Vol (3 month) 3,2.46M
8,Avg Vol (10 day) 3,1.92M
9,Shares Outstanding 5,351.96M
10,Float,332.15M
11,% Held by Insiders 1,0.47%
12,% Held by Institutions 1,95.31%
13,"Shares Short (Jun 14, 2020) 4",4.61M
14,"Short Ratio (Jun 14, 2020) 4",1.74
15,"Short % of Float (Jun 14, 2020) 4",1.31%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.31%
17,"Shares Short (prior month May 14, 2020) 4",4.16M
18,Forward Annual Dividend Rate 4,2.08
19,Forward Annual Dividend Yield 4,3.37%
20,Trailing Annual Dividend Rate 3,2.03
21,Trailing Annual Dividend Yield 3,3.29%
22,5 Year Average Dividend Yield 4,2.25
23,Payout Ratio 4,34.88%
24,Dividend Date 3,"Jul 15, 2020"
25,Ex-Dividend Date 4,"Jun 29, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"May 30, 2001"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,20.06%
31,Operating Margin (ttm),27.37%
32,Return on Assets (ttm),0.80%
33,Return on Equity (ttm),9.69%
34,Revenue (ttm),11.8B
35,Revenue Per Share (ttm),32.44
36,Quarterly Revenue Growth (yoy),3.40%
37,Gross Profit (ttm),11.7B
38,EBITDA,
39,Net Income Avi to Common (ttm),2.14B
40,Diluted EPS (ttm),5.82
41,Quarterly Earnings Growth (yoy),24.80%
42,Total Cash (mrq),164.29B
43,Total Cash Per Share (mrq),466.79
44,Total Debt (mrq),67.26B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),
47,Book Value Per Share (mrq),60.78
48,Operating Cash Flow (ttm),10.31B
49,Levered Free Cash Flow (ttm),
