,Attribute,Value
0,Beta (5Y Monthly),0.85
1,52-Week Change 3,-13.43%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,226.30
4,52 Week Low 3,124.54
5,50-Day Moving Average 3,188.51
6,200-Day Moving Average 3,190.03
7,Avg Vol (3 month) 3,1.72M
8,Avg Vol (10 day) 3,1.15M
9,Shares Outstanding 5,375.38M
10,Float,331.71M
11,% Held by Insiders 1,7.45%
12,% Held by Institutions 1,76.43%
13,"Shares Short (Jun 14, 2020) 4",3.16M
14,"Short Ratio (Jun 14, 2020) 4",1.92
15,"Short % of Float (Jun 14, 2020) 4",0.96%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.84%
17,"Shares Short (prior month May 14, 2020) 4",4.12M
18,Forward Annual Dividend Rate 4,2.3
19,Forward Annual Dividend Yield 4,1.29%
20,Trailing Annual Dividend Rate 3,2.19
21,Trailing Annual Dividend Yield 3,1.23%
22,5 Year Average Dividend Yield 4,1.18
23,Payout Ratio 4,38.49%
24,Dividend Date 3,"Jul 30, 2020"
25,Ex-Dividend Date 4,"Jun 28, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"May 16, 2004"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,14.47%
31,Operating Margin (ttm),22.55%
32,Return on Assets (ttm),7.61%
33,Return on Equity (ttm),17.45%
34,Revenue (ttm),14.96B
35,Revenue Per Share (ttm),39.95
36,Quarterly Revenue Growth (yoy),2.00%
37,Gross Profit (ttm),9.8B
38,EBITDA,4.16B
39,Net Income Avi to Common (ttm),2.16B
40,Diluted EPS (ttm),5.69
41,Quarterly Earnings Growth (yoy),19.70%
42,Total Cash (mrq),4.05B
43,Total Cash Per Share (mrq),10.78
44,Total Debt (mrq),10.9B
45,Total Debt/Equity (mrq),83.13
46,Current Ratio (mrq),2.58
47,Book Value Per Share (mrq),34.94
48,Operating Cash Flow (ttm),2.47B
49,Levered Free Cash Flow (ttm),1.5B
