,Attribute,Value
0,Beta (5Y Monthly),1.05
1,52-Week Change 3,32.46%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,395.00
4,52 Week Low 3,250.21
5,50-Day Moving Average 3,354.34
6,200-Day Moving Average 3,328.05
7,Avg Vol (3 month) 3,1.55M
8,Avg Vol (10 day) 3,1.29M
9,Shares Outstanding 5,394.95M
10,Float,394.01M
11,% Held by Insiders 1,0.21%
12,% Held by Institutions 1,93.01%
13,"Shares Short (Jun 14, 2020) 4",3.66M
14,"Short Ratio (Jun 14, 2020) 4",2.59
15,"Short % of Float (Jun 14, 2020) 4",0.93%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.93%
17,"Shares Short (prior month May 14, 2020) 4",3.51M
18,Forward Annual Dividend Rate 4,0.88
19,Forward Annual Dividend Yield 4,0.23%
20,Trailing Annual Dividend Rate 3,0.79
21,Trailing Annual Dividend Yield 3,0.20%
22,5 Year Average Dividend Yield 4,0.33
23,Payout Ratio 4,8.66%
24,Dividend Date 3,"Jul 14, 2020"
25,Ex-Dividend Date 4,"Jun 11, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Jun 05, 1996"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 27, 2020"
30,Profit Margin,14.31%
31,Operating Margin (ttm),16.63%
32,Return on Assets (ttm),4.66%
33,Return on Equity (ttm),13.04%
34,Revenue (ttm),25.65B
35,Revenue Per Share (ttm),64.24
36,Quarterly Revenue Growth (yoy),1.70%
37,Gross Profit (ttm),11.34B
38,EBITDA,6.56B
39,Net Income Avi to Common (ttm),3.67B
40,Diluted EPS (ttm),9.12
41,Quarterly Earnings Growth (yoy),-3.30%
42,Total Cash (mrq),2.98B
43,Total Cash Per Share (mrq),7.55
44,Total Debt (mrq),20B
45,Total Debt/Equity (mrq),70.03
46,Current Ratio (mrq),2.32
47,Book Value Per Share (mrq),72.31
48,Operating Cash Flow (ttm),4.68B
49,Levered Free Cash Flow (ttm),3.2B
