,Attribute,Value
0,Beta (5Y Monthly),0.79
1,52-Week Change 3,-8.48%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,45.86
4,52 Week Low 3,20.00
5,50-Day Moving Average 3,33.13
6,200-Day Moving Average 3,31.38
7,Avg Vol (3 month) 3,22.94M
8,Avg Vol (10 day) 3,37.4M
9,Shares Outstanding 5,784.63M
10,Float,764.66M
11,% Held by Insiders 1,3.59%
12,% Held by Institutions 1,72.44%
13,"Shares Short (Jun 14, 2020) 4",33.76M
14,"Short Ratio (Jun 14, 2020) 4",1.58
15,"Short % of Float (Jun 14, 2020) 4",4.92%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.30%
17,"Shares Short (prior month May 14, 2020) 4",33.64M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,36.39%
31,Operating Margin (ttm),7.62%
32,Return on Assets (ttm),1.34%
33,Return on Equity (ttm),15.95%
34,Revenue (ttm),3.48B
35,Revenue Per Share (ttm),4.49
36,Quarterly Revenue Growth (yoy),2.60%
37,Gross Profit (ttm),2.32B
38,EBITDA,622M
39,Net Income Avi to Common (ttm),1.27B
40,Diluted EPS (ttm),1.61
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),7.67B
43,Total Cash Per Share (mrq),9.8
44,Total Debt (mrq),4.14B
45,Total Debt/Equity (mrq),47.03
46,Current Ratio (mrq),11.93
47,Book Value Per Share (mrq),11.24
48,Operating Cash Flow (ttm),1.2B
49,Levered Free Cash Flow (ttm),493.57M
