,Attribute,Value
0,Beta (5Y Monthly),1.88
1,52-Week Change 3,-57.04%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,53.71
4,52 Week Low 3,10.10
5,50-Day Moving Average 3,22.62
6,200-Day Moving Average 3,24.41
7,Avg Vol (3 month) 3,12.44M
8,Avg Vol (10 day) 3,9.55M
9,Shares Outstanding 5,563.11M
10,Float,548.77M
11,% Held by Insiders 1,4.36%
12,% Held by Institutions 1,82.70%
13,"Shares Short (Jun 14, 2020) 4",61.43M
14,"Short Ratio (Jun 14, 2020) 4",3.98
15,"Short % of Float (Jun 14, 2020) 4",11.36%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",9.98%
17,"Shares Short (prior month May 14, 2020) 4",56.68M
18,Forward Annual Dividend Rate 4,0.96
19,Forward Annual Dividend Yield 4,4.34%
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,1.58
23,Payout Ratio 4,28.28%
24,Dividend Date 3,"Jun 30, 2020"
25,Ex-Dividend Date 4,"Jun 11, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,6.81%
31,Operating Margin (ttm),15.16%
32,Return on Assets (ttm),7.10%
33,Return on Equity (ttm),20.52%
34,Revenue (ttm),27.38B
35,Revenue Per Share (ttm),44.50
36,Quarterly Revenue Growth (yoy),-6.10%
37,Gross Profit (ttm),10.59B
38,EBITDA,4.57B
39,Net Income Avi to Common (ttm),1.83B
40,Diluted EPS (ttm),
41,Quarterly Earnings Growth (yoy),-73.70%
42,Total Cash (mrq),589M
43,Total Cash Per Share (mrq),0.96
44,Total Debt (mrq),20.38B
45,Total Debt/Equity (mrq),147.76
46,Current Ratio (mrq),1.22
47,Book Value Per Share (mrq),
48,Operating Cash Flow (ttm),657M
49,Levered Free Cash Flow (ttm),15.04B
