,Attribute,Value
0,Beta (5Y Monthly),0.71
1,52-Week Change 3,14.40%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,176.48
4,52 Week Low 3,116.61
5,50-Day Moving Average 3,168.05
6,200-Day Moving Average 3,157.93
7,Avg Vol (3 month) 3,932.08k
8,Avg Vol (10 day) 3,799.08k
9,Shares Outstanding 5,162.26M
10,Float,160.45M
11,% Held by Insiders 1,1.07%
12,% Held by Institutions 1,92.90%
13,"Shares Short (Jun 14, 2020) 4",1.41M
14,"Short Ratio (Jun 14, 2020) 4",1.29
15,"Short % of Float (Jun 14, 2020) 4",0.99%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.87%
17,"Shares Short (prior month May 14, 2020) 4",1.48M
18,Forward Annual Dividend Rate 4,1.08
19,Forward Annual Dividend Yield 4,0.62%
20,Trailing Annual Dividend Rate 3,1.02
21,Trailing Annual Dividend Yield 3,0.59%
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,34.81%
24,Dividend Date 3,"Jun 29, 2020"
25,Ex-Dividend Date 4,"Jun 11, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,18.23%
31,Operating Margin (ttm),32.25%
32,Return on Assets (ttm),8.12%
33,Return on Equity (ttm),22.92%
34,Revenue (ttm),2.67B
35,Revenue Per Share (ttm),16.35
36,Quarterly Revenue Growth (yoy),10.40%
37,Gross Profit (ttm),1.63B
38,EBITDA,1.09B
39,Net Income Avi to Common (ttm),487.2M
40,Diluted EPS (ttm),2.93
41,Quarterly Earnings Growth (yoy),27.80%
42,Total Cash (mrq),207.4M
43,Total Cash Per Share (mrq),1.28
44,Total Debt (mrq),3.33B
45,Total Debt/Equity (mrq),160.24
46,Current Ratio (mrq),0.51
47,Book Value Per Share (mrq),12.80
48,Operating Cash Flow (ttm),952.8M
49,Levered Free Cash Flow (ttm),844.25M
