,Attribute,Value
0,Beta (5Y Monthly),0.90
1,52-Week Change 3,-5.00%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,221.78
4,52 Week Low 3,148.77
5,50-Day Moving Average 3,209.68
6,200-Day Moving Average 3,202.34
7,Avg Vol (3 month) 3,650.6k
8,Avg Vol (10 day) 3,511.97k
9,Shares Outstanding 5,115.54M
10,Float,105.87M
11,% Held by Insiders 1,1.32%
12,% Held by Institutions 1,94.55%
13,"Shares Short (Jun 14, 2020) 4",1.64M
14,"Short Ratio (Jun 14, 2020) 4",2.46
15,"Short % of Float (Jun 14, 2020) 4",1.83%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.42%
17,"Shares Short (prior month May 14, 2020) 4",1.84M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,"May 17, 2011"
25,Ex-Dividend Date 4,"May 04, 2011"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Dec 06, 1999"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,63.33%
31,Operating Margin (ttm),65.61%
32,Return on Assets (ttm),27.63%
33,Return on Equity (ttm),
34,Revenue (ttm),1.24B
35,Revenue Per Share (ttm),10.52
36,Quarterly Revenue Growth (yoy),2.00%
37,Gross Profit (ttm),1.05B
38,EBITDA,858.11M
39,Net Income Avi to Common (ttm),783.89M
40,Diluted EPS (ttm),6.64
41,Quarterly Earnings Growth (yoy),105.60%
42,Total Cash (mrq),1.14B
43,Total Cash Per Share (mrq),9.85
44,Total Debt (mrq),1.79B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),1.24
47,Book Value Per Share (mrq),-12.18
48,Operating Cash Flow (ttm),746.62M
49,Levered Free Cash Flow (ttm),537.38M
