,Attribute,Value
0,Beta (5Y Monthly),1.51
1,52-Week Change 3,-19.08%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,81.75
4,52 Week Low 3,35.07
5,50-Day Moving Average 3,61.42
6,200-Day Moving Average 3,62.82
7,Avg Vol (3 month) 3,1.44M
8,Avg Vol (10 day) 3,1.16M
9,Shares Outstanding 5,190.29M
10,Float,179.63M
11,% Held by Insiders 1,5.76%
12,% Held by Institutions 1,103.45%
13,"Shares Short (Jun 14, 2020) 4",4.56M
14,"Short Ratio (Jun 14, 2020) 4",3.67
15,"Short % of Float (Jun 14, 2020) 4",2.84%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.40%
17,"Shares Short (prior month May 14, 2020) 4",5.19M
18,Forward Annual Dividend Rate 4,0.48
19,Forward Annual Dividend Yield 4,0.85%
20,Trailing Annual Dividend Rate 3,0.48
21,Trailing Annual Dividend Yield 3,0.85%
22,5 Year Average Dividend Yield 4,0.54
23,Payout Ratio 4,19.51%
24,Dividend Date 3,"May 21, 2020"
25,Ex-Dividend Date 4,"May 06, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 11, 2013"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,5.19%
31,Operating Margin (ttm),11.54%
32,Return on Assets (ttm),3.25%
33,Return on Equity (ttm),4.51%
34,Revenue (ttm),8.54B
35,Revenue Per Share (ttm),45.43
36,Quarterly Revenue Growth (yoy),21.10%
37,Gross Profit (ttm),2.5B
38,EBITDA,1.33B
39,Net Income Avi to Common (ttm),441.4M
40,Diluted EPS (ttm),2.27
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),615.9M
43,Total Cash Per Share (mrq),3.24
44,Total Debt (mrq),5.02B
45,Total Debt/Equity (mrq),51.22
46,Current Ratio (mrq),1.42
47,Book Value Per Share (mrq),51.30
48,Operating Cash Flow (ttm),902.3M
49,Levered Free Cash Flow (ttm),831.97M
