,Attribute,Value
0,Beta (5Y Monthly),2.49
1,52-Week Change 3,-46.19%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,153.41
4,52 Week Low 3,35.84
5,50-Day Moving Average 3,84.64
6,200-Day Moving Average 3,96.14
7,Avg Vol (3 month) 3,6.04M
8,Avg Vol (10 day) 3,5.29M
9,Shares Outstanding 5,107.87M
10,Float,96.4M
11,% Held by Insiders 1,9.71%
12,% Held by Institutions 1,79.20%
13,"Shares Short (Jun 14, 2020) 4",9.68M
14,"Short Ratio (Jun 14, 2020) 4",1.51
15,"Short % of Float (Jun 14, 2020) 4",10.29%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",8.97%
17,"Shares Short (prior month May 14, 2020) 4",10.76M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,3.00
21,Trailing Annual Dividend Yield 3,4.22%
22,5 Year Average Dividend Yield 4,2.66
23,Payout Ratio 4,
24,Dividend Date 3,"Mar 05, 2020"
25,Ex-Dividend Date 4,"Feb 24, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-6.49%
31,Operating Margin (ttm),7.10%
32,Return on Assets (ttm),1.91%
33,Return on Equity (ttm),-20.54%
34,Revenue (ttm),5.91B
35,Revenue Per Share (ttm),55.41
36,Quarterly Revenue Growth (yoy),-42.30%
37,Gross Profit (ttm),4.78B
38,EBITDA,1.07B
39,Net Income Avi to Common (ttm),-383.92M
40,Diluted EPS (ttm),-3.60
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),2.88B
43,Total Cash Per Share (mrq),26.89
44,Total Debt (mrq),11.53B
45,Total Debt/Equity (mrq),1161.25
46,Current Ratio (mrq),1.81
47,Book Value Per Share (mrq),11.59
48,Operating Cash Flow (ttm),460.71M
49,Levered Free Cash Flow (ttm),-471.24M
