,Attribute,Value
0,Beta (5Y Monthly),1.66
1,52-Week Change 3,32.09%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,278.60
4,52 Week Low 3,150.06
5,50-Day Moving Average 3,260.29
6,200-Day Moving Average 3,231.76
7,Avg Vol (3 month) 3,379.54k
8,Avg Vol (10 day) 3,276.73k
9,Shares Outstanding 5,53.09M
10,Float,52.57M
11,% Held by Insiders 1,1.12%
12,% Held by Institutions 1,93.18%
13,"Shares Short (Jun 14, 2020) 4",657.57k
14,"Short Ratio (Jun 14, 2020) 4",1.78
15,"Short % of Float (Jun 14, 2020) 4",1.43%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.24%
17,"Shares Short (prior month May 14, 2020) 4",972.91k
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Aug 25, 2004"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 27, 2020"
30,Profit Margin,11.59%
31,Operating Margin (ttm),16.01%
32,Return on Assets (ttm),9.82%
33,Return on Equity (ttm),32.44%
34,Revenue (ttm),4.47B
35,Revenue Per Share (ttm),82.86
36,Quarterly Revenue Growth (yoy),-1.30%
37,Gross Profit (ttm),2.1B
38,EBITDA,878M
39,Net Income Avi to Common (ttm),518M
40,Diluted EPS (ttm),9.50
41,Quarterly Earnings Growth (yoy),-22.60%
42,Total Cash (mrq),24M
43,Total Cash Per Share (mrq),0.45
44,Total Debt (mrq),1.54B
45,Total Debt/Equity (mrq),89.17
46,Current Ratio (mrq),0.85
47,Book Value Per Share (mrq),32.54
48,Operating Cash Flow (ttm),751M
49,Levered Free Cash Flow (ttm),606.63M
