index,symbol,name,yield,payout
0,peak,Healthpeak Properties Inc.,5.57%,296.00%
1,tmus,T-Mobile US Inc,N/A,0.00%
2,hbi,Hanesbrands Inc,5.58%,42.86%
3,aph,Amphenol Corp A,1.05%,26.70%
4,nbl,Noble Energy Inc,0.81%,N/A
5,gis,General Mills Inc,3.25%,56.32%
6,aiv,Apartment Investment & Mgmt,4.53%,120.61%
7,pvh,PVH Corp,N/A,1.34%
8,jnpr,Juniper Networks Inc,3.59%,80.21%
9,jpm,JP Morgan Chase & Co,3.67%,39.55%
10,sjm,J.M. Smucker Co,3.33%,51.02%
11,avy,Avery Dennison Corp,2.08%,33.57%
12,mar,Marriott Intl A,N/A,68.57%
13,has,Hasbro Inc,3.87%,81.68%
14,fe,FirstEnergy Corp,4.16%,144.34%
15,zbh,Zimmer Biomet Holdings Inc,0.83%,53.04%
16,usb,US Bancorp,4.42%,42.12%
17,nclh,Norwegian Cruise Line Holdings Ltd,N/A,0.00%
18,cop,ConocoPhillips,3.99%,45.31%
19,aos,A.O. Smith Corp,2.15%,45.77%
20,hst,Host Hotels & Resorts Inc,N/A,79.54%
21,dd,DuPont de Nemours Inc.,2.33%,N/A
22,aee,Ameren Corp,2.88%,61.39%
23,ba,Boeing Co,N/A,N/A
24,idxx,IDEXX Laboratories Inc,N/A,0.00%
25,cme,CME Group Inc A,2.02%,46.55%
26,alle,Allegion plc,1.31%,33.00%
27,adsk,Autodesk Inc,N/A,0.00%
28,orly,O'Reilly Automotive,N/A,0.00%
29,ajg,Arthur J. Gallagher & Co,1.85%,49.15%
30,chrw,CH Robinson Worldwide Inc,2.64%,56.11%
31,regn,Regeneron Pharmaceuticals Inc,N/A,0.00%
32,flt,FleetCor Technologies Inc,N/A,0.00%
33,hpq,HP Inc,4.31%,32.98%
34,pypl,PayPal Holdings Inc.,N/A,0.00%
35,tsn,Tyson Foods Inc A,2.81%,29.61%
36,hal,Halliburton Co,1.52%,N/A
37,kr,Kroger Co,1.95%,23.75%
38,cprt,Copart Inc,N/A,0.00%
39,rl,Ralph Lauren Corp A,N/A,55.22%
40,chtr,Charter Communications Inc A,N/A,0.00%
41,coo,Cooper Companies Inc,0.02%,0.87%
42,alb,Albemarle Corp,2.08%,31.18%
43,bxp,Boston Properties Inc,4.35%,65.76%
44,hpe,Hewlett Packard Enterprise Co,5.18%,N/A
45,mktx,MarketAxess Holdings,0.47%,35.68%
46,exr,Extra Space Storage Inc,3.92%,108.11%
47,ce,Celanese Corp A,2.91%,40.46%
48,ups,United Parcel Service Inc B,3.66%,78.74%
49,viac,ViacomCBS  Inc B,4.18%,28.28%
50,tfc,Truist Financial Corp,4.67%,50.58%
51,pfe,Pfizer Inc,4.70%,52.14%
52,snps,Synopsys Inc,N/A,0.00%
53,pm,Philip Morris International,6.62%,94.70%
54,pnr,Pentair PLC,2.09%,32.44%
55,lnc,Lincoln National Corp,4.35%,45.62%
56,c,Citigroup Inc,3.87%,27.39%
57,atvi,Activision Blizzard Inc,0.54%,0.00%
58,expd,Expeditors Intl of WA Inc,1.42%,30.30%
59,len,Lennar Corp A,0.84%,4.98%
60,nem,Newmont Corp,1.71%,11.81%
61,ebay,eBay Inc.,1.31%,26.73%
62,frt,Federal Realty Invt Trust,4.96%,92.05%
63,well,Welltower Inc,4.86%,103.88%
64,payc,Paycom Software Inc,N/A,0.00%
65,klac,KLA Corporation,1.77%,50.00%
66,ccl,Carnival Corp,N/A,74.07%
67,wfc,Wells Fargo & Co,7.45%,69.23%
68,pki,PerkinElmer Inc,0.29%,13.86%
69,lh,Lab Corp of America Hldgs,N/A,0.00%
70,mdlz,Mondelez International Inc,2.24%,43.90%
71,jkhy,Jack Henry & Associates Inc.,0.95%,42.34%
72,cfg,Citizens Financial Group Inc,6.18%,48.97%
73,eqix,Equinix Inc,1.53%,169.31%
74,cmcsa,Comcast Corp A,2.39%,34.13%
75,mtd,Mettler-Toledo Intl,N/A,0.00%
76,ben,Franklin Resources Inc,5.12%,54.36%
77,ge,General Electric Co,0.61%,6.56%
78,myl,Mylan NV,N/A,0.00%
79,bmy,Bristol-Myers Squibb,3.09%,273.02%
80,ntrs,Northern Trust Corp (IL),3.57%,40.30%
81,spgi,S&P Global Inc,0.82%,24.87%
82,cnp,Centerpoint Energy Inc,3.27%,N/A
83,shw,Sherwin-Williams Co,0.94%,26.83%
84,abt,Abbott Laboratories,1.61%,66.67%
85,glw,Corning Inc,3.41%,241.18%
86,ms,Morgan Stanley,2.87%,28.07%
87,avb,AvalonBay Communities Inc,4.15%,110.02%
88,ed,Consolidated Edison Inc,4.33%,76.74%
89,hlt,Hilton Worldwide Holdings  Inc,N/A,23.44%
90,slg,SL Green Realty Corp,7.07%,71.11%
91,amzn,Amazon.com Inc,N/A,0.00%
92,axp,American Express Co,1.76%,25.45%
93,ni,Nisource Inc,3.76%,168.75%
94,psx,Phillips 66,5.14%,537.31%
95,cbre,CBRE Group Inc.,N/A,0.00%
96,hon,Honeywell Intl Inc,2.60%,39.54%
97,unh,Unitedhealth Group Inc,1.69%,30.23%
98,rmd,ResMed Inc,0.84%,43.75%
99,tfx,Teleflex Inc,0.38%,11.62%
100,iqv,IQVIA Holdings Inc,N/A,0.00%
101,pep,PepsiCo Inc,3.11%,74.03%
102,lw,Lamb Weston Holdings Inc,1.46%,25.46%
103,jbht,J.B. Hunt Transport Services,0.91%,22.53%
104,otis,Otis Worldwide Corp,1.44%,0.00%
105,etn,Eaton Corp plc,3.42%,56.19%
106,uri,United Rentals Inc,N/A,0.00%
107,l,Loews Corp,0.74%,N/A
108,gild,Gilead Sciences Inc,3.60%,65.90%
109,ice,Intercontinental Exchange Inc,1.29%,30.08%
110,bf-b,brown-forman,1.10%,39.57%
111,payx,Paychex Inc,3.39%,80.78%
